slice,example_id,variant,arm,model,k,attempts,cases_passed,cases_total,suite_exact,failure_mode,ir_parses,ir_wellformed,ir_known_deontic,ir_unknown_fns,tags,notes
comparability,0085ecdd,original,lrml,openai:gpt-5.6-sol,30,1,1,6,0,verdict_mismatch,True,True,True,3,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); boundary_exactly_800: got (False,False); one_of_two_sides_suffices: got (False,False)"
comparability,0085ecdd,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,6,0,verdict_mismatch,True,True,True,3,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); boundary_exactly_800: got (False,False); one_of_two_sides_suffices: got (False,False)"
comparability,0219127c,original,lrml,openai:gpt-5.6-sol,30,1,4,6,0,verdict_mismatch,True,True,True,2,necessity,"clear_violation_no_socket: got (False,False); socket_present_but_unsuitable: got (False,False)"
comparability,0219127c,perturbed,lrml,openai:gpt-5.6-sol,30,1,4,6,0,verdict_mismatch,True,True,True,2,necessity,"clear_violation_no_socket: got (False,False); socket_present_but_unsuitable: got (False,False)"
comparability,02f5e3fb,original,lrml,openai:gpt-5.6-sol,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,02f5e3fb,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,08efb7a8,original,lrml,openai:gpt-5.6-sol,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,08efb7a8,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,09b2a395,original,lrml,openai:gpt-5.6-sol,30,1,1,7,0,verdict_mismatch,True,True,True,4,threshold,"clear_compliant: got (False,False); clear_violation_too_high: got (False,False); boundary_height_900_and_1000: got (False,False); boundary_corner_exactly_300: got (False,False)"
comparability,09b2a395,perturbed,lrml,openai:gpt-5.6-sol,30,1,0,7,0,runtime_reject,True,True,True,4,threshold,clear_compliant: ordered comparison over non-numbers: height >= 900.0; clear_violation_too_high: ordered comparison over non-numbers: height >= 900.0; boundary_height_900_and_1000: ordered comparison 
comparability,0aaf71f0,original,lrml,openai:gpt-5.6-sol,30,1,5,5,1,,True,True,True,1,threshold|necessity,
comparability,0aaf71f0,perturbed,lrml,openai:gpt-5.6-sol,30,1,0,5,0,runtime_reject,True,True,True,4,threshold|necessity,clear_compliant: ordered comparison over non-numbers: fc <= 200.0; violation_fc_over: ordered comparison over non-numbers: fc <= 200.0; violation_nfc_over: ordered comparison over non-numbers: fc <= 2
comparability,0edb92b7,original,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,3,necessity,"clear_compliant: got (False,False); violation_no_flow_away: got (False,False); violation_causes_problems: got (False,False); distractor: got (False,False)"
comparability,0edb92b7,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,3,necessity,"clear_compliant: got (False,False); violation_no_flow_away: got (False,False); violation_causes_problems: got (False,False); distractor: got (False,False)"
comparability,12e545d1,original,lrml,openai:gpt-5.6-sol,30,1,4,5,0,verdict_mismatch,True,True,True,4,threshold|necessity,"violation_one_pair_of_three: got (True,False)"
comparability,12e545d1,perturbed,lrml,openai:gpt-5.6-sol,30,1,4,5,0,verdict_mismatch,True,True,True,4,threshold|necessity,"violation_one_pair_of_three: got (True,False)"
comparability,14d1a086,original,lrml,openai:gpt-5.6-sol,30,1,1,4,0,verdict_mismatch,True,True,True,3,necessity,"clear_compliant: got (False,False); clear_violation_one_floor: got (False,False); distractor: got (False,False)"
comparability,14d1a086,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation_one_floor: got (False,False); distractor: got (False,False)"
comparability,1ebce0c9,original,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation_one_weak_wall: got (False,False); boundary_exactly_15: got (False,False); distractor: got (False,False)"
comparability,1ebce0c9,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation_one_weak_wall: got (False,False); boundary_exactly_15: got (False,False); distractor: got (False,False)"
comparability,20518e80,original,lrml,openai:gpt-5.6-sol,30,1,4,4,1,,True,True,True,2,threshold,
comparability,20518e80,perturbed,lrml,openai:gpt-5.6-sol,30,1,4,4,1,,True,True,True,2,threshold,
comparability,23db27ac,original,lrml,openai:gpt-5.6-sol,30,1,5,5,1,,True,True,True,4,necessity,
comparability,23db27ac,perturbed,lrml,openai:gpt-5.6-sol,30,1,5,5,1,,True,True,True,3,necessity,
comparability,2af8ee5f,original,lrml,openai:gpt-5.6-sol,30,1,4,6,0,verdict_mismatch,True,True,True,3,necessity,"hood_not_extracting_outside_exempt: got (False,False); violation_hood_extracting_outside: got (False,False)"
comparability,2af8ee5f,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,6,0,verdict_mismatch,True,True,True,7,necessity,"clear_compliant_retained: got (False,False); clear_violation: got (False,False); compliant_replaced: got (False,False); hood_not_extracting_outside_exempt: got (False,False)"
comparability,2b60007d,original,lrml,openai:gpt-5.6-sol,30,1,0,7,0,runtime_reject,True,True,True,5,necessity,clear_compliant: ordered comparison over non-numbers: d >= 215.0; clear_violation_too_shallow: ordered comparison over non-numbers: d >= 215.0; boundary_215_and_equal_floor_depth: ordered comparison o
comparability,2b60007d,perturbed,lrml,openai:gpt-5.6-sol,30,1,0,7,0,runtime_reject,True,True,True,5,necessity,clear_compliant: ordered comparison over non-numbers: depth >= 215.0; clear_violation_too_shallow: ordered comparison over non-numbers: depth >= 215.0; boundary_215_and_equal_floor_depth: ordered comp
comparability,2cc3d5b0,original,lrml,openai:gpt-5.6-sol,30,1,0,6,0,runtime_reject,True,True,True,3,threshold|necessity,clear_compliant: ordered comparison over non-numbers: supply_rate_per_person_space >= 10.0; clear_violation: ordered comparison over non-numbers: supply_rate_per_person_space >= 10.0; boundary_exactly
comparability,2cc3d5b0,perturbed,lrml,openai:gpt-5.6-sol,30,1,0,6,0,runtime_reject,True,True,True,3,threshold|necessity,clear_compliant: ordered comparison over non-numbers: rate >= 10.0; clear_violation: ordered comparison over non-numbers: rate >= 10.0; boundary_exactly_10: ordered comparison over non-numbers: rate >
comparability,31d635b2,original,lrml,openai:gpt-5.6-sol,30,1,2,5,0,verdict_mismatch,True,True,True,3,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,31d635b2,perturbed,lrml,openai:gpt-5.6-sol,30,1,5,5,1,,True,True,True,3,necessity,
comparability,328fb8e7,original,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); failed_test_reported_compliant: got (False,False); violation_failed_test_unreported: got (False,False)"
comparability,328fb8e7,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); failed_test_reported_compliant: got (False,False); violation_failed_test_unreported: got (False,False)"
comparability,526d7a82,original,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,3,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); violation_one_of_two: got (False,False); distractor: got (False,False)"
comparability,526d7a82,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,3,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); violation_one_of_two: got (False,False); distractor: got (False,False)"
comparability,5fe7997a,original,lrml,openai:gpt-5.6-sol,30,1,4,4,1,,True,True,True,3,necessity,
comparability,5fe7997a,perturbed,lrml,openai:gpt-5.6-sol,30,1,4,4,1,,True,True,True,3,necessity,
comparability,6187cad8,original,lrml,openai:gpt-5.6-sol,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); permitted_boost_control_still_compliant: got (False,False)"
comparability,6187cad8,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); permitted_boost_control_still_compliant: got (False,False)"
comparability,6414854d,original,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,3,threshold,"compliant_short_no_features: got (False,False); violation_long_no_features: got (False,False); boundary_exactly_6m: got (False,False); compliant_long_with_features: got (False,False)"
comparability,6414854d,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,3,threshold,"compliant_short_no_features: got (False,False); violation_long_no_features: got (False,False); boundary_exactly_6m: got (False,False); compliant_long_with_features: got (False,False)"
comparability,675c4d48,original,lrml,openai:gpt-5.6-sol,30,1,1,4,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (True,True); clear_violation: got (False,False); distractor: got (True,True)"
comparability,675c4d48,perturbed,lrml,openai:gpt-5.6-sol,30,1,4,4,1,,True,True,True,1,necessity,
comparability,681c4394,original,lrml,openai:gpt-5.6-sol,30,1,5,5,1,,True,True,True,2,necessity,
comparability,681c4394,perturbed,lrml,openai:gpt-5.6-sol,30,1,2,5,0,verdict_mismatch,True,True,True,3,necessity,"compliant_damper: got (True,True); compliant_thermostat: got (True,True); distractor_both_means: got (True,True)"
comparability,78d904cd,original,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,4,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); no_calculation_yet: got (False,False); distractor: got (False,False)"
comparability,78d904cd,perturbed,lrml,openai:gpt-5.6-sol,30,1,4,5,0,verdict_mismatch,True,True,True,4,necessity,"no_calculation_yet: got (False,False)"
comparability,7db23e3b,original,lrml,openai:gpt-5.6-sol,30,1,3,5,0,verdict_mismatch,True,True,True,3,necessity,"clear_violation_one_valve: got (True,False); no_valves_vacuous: got (False,False)"
comparability,7db23e3b,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation_one_valve: got (False,False); no_valves_vacuous: got (False,False); distractor: got (False,False)"
comparability,7f49ccb1,original,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,6,threshold|necessity,"clear_compliant: got (False,False); violation_short_height: got (False,False); violation_left_side_short: got (False,False); boundary_exact: got (False,False)"
comparability,7f49ccb1,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,6,threshold|necessity,"clear_compliant: got (False,False); violation_short_height: got (False,False); violation_left_side_short: got (False,False); boundary_exact: got (False,False)"
comparability,80221d2c,original,lrml,openai:gpt-5.6-sol,30,1,0,6,0,runtime_reject,True,True,True,4,threshold|necessity,clear_compliant_two_wells: ordered comparison over non-numbers: f1_connected_sink_count <= 2.0; clear_violation_three_wells: ordered comparison over non-numbers: f1_connected_sink_count <= 2.0; violat
comparability,80221d2c,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,6,0,verdict_mismatch,True,True,True,4,threshold|necessity,"clear_compliant_two_wells: got (False,False); clear_violation_three_wells: got (False,False); violation_too_far: got (False,False); boundary_exactly_3000: got (False,False)"
comparability,82aa0792,original,lrml,openai:gpt-5.6-sol,30,1,3,4,0,verdict_mismatch,True,True,True,1,,"distractor_no_boilers: got (False,False)"
comparability,82aa0792,perturbed,lrml,openai:gpt-5.6-sol,30,1,2,4,0,verdict_mismatch,True,True,True,1,,"clear_violation_identical_omitted: got (True,False); distractor_no_boilers: got (True,True)"
comparability,8421f806,original,lrml,openai:gpt-5.6-sol,30,1,1,6,0,verdict_mismatch,True,True,True,4,threshold|necessity,"clear_compliant_gentle: got (False,False); clear_violation_steep_unramped: got (False,False); boundary_exactly_1_in_20: got (False,False); compliant_steep_but_ramped: got (False,False)"
comparability,8421f806,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,6,0,verdict_mismatch,True,True,True,4,threshold|necessity,"clear_compliant_gentle: got (False,False); clear_violation_steep_unramped: got (False,False); boundary_exactly_1_in_20: got (False,False); compliant_steep_but_ramped: got (False,False)"
comparability,87c9c5f5,original,lrml,openai:gpt-5.6-sol,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,87c9c5f5,perturbed,lrml,openai:gpt-5.6-sol,30,1,4,4,1,,True,True,True,1,necessity,
comparability,8aa4b706,original,lrml,openai:gpt-5.6-sol,30,1,1,4,0,verdict_mismatch,True,True,True,3,threshold|necessity,"clear_compliant: got (False,False); clear_violation_one_part: got (False,False); distractor: got (False,False)"
comparability,8aa4b706,perturbed,lrml,openai:gpt-5.6-sol,30,1,4,4,1,,True,True,True,7,threshold|necessity,
comparability,8fec1c4a,original,lrml,openai:gpt-5.6-sol,30,1,1,4,0,verdict_mismatch,True,True,True,3,necessity,"clear_compliant: got (False,False); clear_violation_one_of_two: got (False,False); no_penetrations_vacuous: got (False,False)"
comparability,8fec1c4a,perturbed,lrml,openai:gpt-5.6-sol,30,1,2,4,0,verdict_mismatch,True,True,True,3,necessity,"clear_violation_one_of_two: got (True,False); no_penetrations_vacuous: got (False,False)"
comparability,9a574829,original,lrml,openai:gpt-5.6-sol,30,1,2,4,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False)"
comparability,9a574829,perturbed,lrml,openai:gpt-5.6-sol,30,1,2,4,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False)"
comparability,9dd2a0f1,original,lrml,openai:gpt-5.6-sol,30,1,2,6,0,verdict_mismatch,True,True,True,3,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor_small_duct_beside_large: got (False,False); violation_one_of_two_large: got (False,False)"
comparability,9dd2a0f1,perturbed,lrml,openai:gpt-5.6-sol,30,1,2,6,0,verdict_mismatch,True,True,True,3,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor_small_duct_beside_large: got (False,False); violation_one_of_two_large: got (False,False)"
comparability,9ff8b8fd,original,lrml,openai:gpt-5.6-sol,30,1,5,5,1,,True,True,True,0,threshold,
comparability,9ff8b8fd,perturbed,lrml,openai:gpt-5.6-sol,30,1,5,5,1,,True,True,True,0,threshold,
comparability,a1f91cfd,original,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,2,threshold|necessity,"compliant_individual_rates: got (False,False); compliant_average_alternative: got (False,False); violation_neither_form: got (False,False); distractor_both_forms: got (False,False)"
comparability,a1f91cfd,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,2,threshold|necessity,"compliant_individual_rates: got (False,False); compliant_average_alternative: got (False,False); violation_neither_form: got (False,False); distractor_both_forms: got (False,False)"
comparability,a4dc06ab,original,lrml,openai:gpt-5.6-sol,30,1,4,6,0,verdict_mismatch,True,True,True,1,threshold,"exception_area_protected: got (False,False); distractor_two_elements: got (False,False)"
comparability,a4dc06ab,perturbed,lrml,openai:gpt-5.6-sol,30,1,4,6,0,verdict_mismatch,True,True,True,2,threshold,"exception_area_protected: got (False,False); distractor_two_elements: got (False,False)"
comparability,a4fccc69,original,lrml,openai:gpt-5.6-sol,30,1,1,4,0,verdict_mismatch,True,True,True,4,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); door_exists_but_unused_compliant: got (False,False)"
comparability,a4fccc69,perturbed,lrml,openai:gpt-5.6-sol,30,1,4,4,1,,True,True,True,4,necessity,
comparability,aaca648c,original,lrml,openai:gpt-5.6-sol,30,1,4,4,1,,True,True,True,1,necessity,
comparability,aaca648c,perturbed,lrml,openai:gpt-5.6-sol,30,1,4,4,1,,True,True,True,1,necessity,
comparability,b5edf19f,original,lrml,openai:gpt-5.6-sol,30,1,4,4,1,,True,True,True,2,necessity,
comparability,b5edf19f,perturbed,lrml,openai:gpt-5.6-sol,30,1,4,4,1,,True,True,True,2,necessity,
comparability,bb9ec292,original,lrml,openai:gpt-5.6-sol,30,1,5,5,1,,True,True,True,0,threshold,
comparability,bb9ec292,perturbed,lrml,openai:gpt-5.6-sol,30,1,5,5,1,,True,True,True,0,threshold,
comparability,bd1438b0,original,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,3,necessity,"clear_compliant: got (False,False); clear_violation_vertical_basis: got (False,False); no_calculation_yet_nothing_to_check: got (False,False); distractor_two_rooflights: got (False,False)"
comparability,bd1438b0,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,3,necessity,"clear_compliant: got (False,False); clear_violation_vertical_basis: got (False,False); no_calculation_yet_nothing_to_check: got (False,False); distractor_two_rooflights: got (False,False)"
comparability,c06bb553,original,lrml,openai:gpt-5.6-sol,30,1,1,4,0,verdict_mismatch,True,True,True,3,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,c06bb553,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,4,0,verdict_mismatch,True,True,True,3,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,cc72106e,original,lrml,openai:gpt-5.6-sol,30,1,0,6,0,runtime_reject,True,True,True,3,threshold,clear_compliant: ordered comparison over non-numbers: height >= 800.0; clear_violation: ordered comparison over non-numbers: height >= 800.0; boundary_exactly_800: ordered comparison over non-numbers:
comparability,cc72106e,perturbed,lrml,openai:gpt-5.6-sol,30,1,2,6,0,verdict_mismatch,True,True,True,1,threshold,"clear_compliant: got (False,False); clear_violation: got (False,False); boundary_exactly_800: got (False,False); distractor: got (False,False)"
comparability,d3c5b819,original,lrml,openai:gpt-5.6-sol,30,1,4,4,1,,True,True,True,4,necessity,
comparability,d3c5b819,perturbed,lrml,openai:gpt-5.6-sol,30,1,4,4,1,,True,True,True,4,necessity,
comparability,dae0db09,original,lrml,openai:gpt-5.6-sol,30,1,3,5,0,verdict_mismatch,True,True,True,2,necessity,"exception_barrier_protected: got (False,False); distractor: got (False,False)"
comparability,dae0db09,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,3,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); exception_barrier_protected: got (False,False); distractor: got (False,False)"
comparability,df09194e,original,lrml,openai:gpt-5.6-sol,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,df09194e,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,f009a781,original,lrml,openai:gpt-5.6-sol,30,1,4,4,1,,True,True,True,3,necessity,
comparability,f009a781,perturbed,lrml,openai:gpt-5.6-sol,30,1,4,4,1,,True,True,True,3,necessity,
comparability,f41fb8da,original,lrml,openai:gpt-5.6-sol,30,1,4,4,1,,True,True,True,3,necessity,
comparability,f41fb8da,perturbed,lrml,openai:gpt-5.6-sol,30,1,4,4,1,,True,True,True,3,necessity,
comparability,f51da5c6,original,lrml,openai:gpt-5.6-sol,30,1,2,4,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False)"
comparability,f51da5c6,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,f7cfdf57,original,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,3,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); no_level_changes_vacuous: got (False,False); distractor: got (False,False)"
comparability,f7cfdf57,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,3,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); no_level_changes_vacuous: got (False,False); distractor: got (False,False)"
exception,cand01,original,lrml,openai:gpt-5.6-sol,30,1,3,6,0,verdict_mismatch,True,True,True,4,exception|priority,"exempt_loadbearing_only: got (False,False); exempt_diagram_9_2: got (False,False); exempt_above_fr_ceiling: got (False,False)"
exception,cand01,perturbed,lrml,openai:gpt-5.6-sol,30,1,3,6,0,verdict_mismatch,True,True,True,4,exception|priority,"exempt_loadbearing_only: got (False,False); exempt_diagram_9_2: got (False,False); exempt_above_fr_ceiling: got (False,False)"
exception,cand02,original,lrml,openai:gpt-5.6-sol,30,1,0,6,0,runtime_reject,True,True,True,7,exception|priority,clear_compliant: ordered comparison over non-numbers: new_capacity >= existing_capacity; clear_violation: ordered comparison over non-numbers: new_capacity >= existing_capacity; boundary_equal_capacit
exception,cand02,perturbed,lrml,openai:gpt-5.6-sol,30,1,0,6,0,runtime_reject,True,True,True,7,exception|priority,clear_compliant: ordered comparison over non-numbers: new_capacity >= existing_capacity; clear_violation: ordered comparison over non-numbers: new_capacity >= existing_capacity; boundary_equal_capacit
exception,cand08,original,lrml,openai:gpt-5.6-sol,30,1,0,7,0,runtime_reject,True,True,True,4,exception|priority,clear_compliant: ordered comparison over non-numbers: mounting_height_switch >= 400.0; violation_too_high: ordered comparison over non-numbers: mounting_height_switch >= 400.0; violation_too_low: orde
exception,cand08,perturbed,lrml,openai:gpt-5.6-sol,30,1,0,7,0,runtime_reject,True,True,True,4,exception|priority,clear_compliant: ordered comparison over non-numbers: mounting_height_switch >= 400.0; violation_too_high: ordered comparison over non-numbers: mounting_height_switch >= 400.0; violation_too_low: orde
exception,cand16,original,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,4,exception|priority,"clear_compliant: got (False,False); clear_violation: got (False,False); exception_complies_cited_para: got (False,False); distractor: got (False,False)"
exception,cand16,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,4,exception|priority,"clear_compliant: got (False,False); clear_violation: got (False,False); exception_complies_cited_para: got (False,False); distractor: got (False,False)"
exception,cand18,original,lrml,openai:gpt-5.6-sol,30,1,1,6,0,verdict_mismatch,True,True,True,7,exception|priority,"clear_compliant: got (False,False); clear_violation: got (False,False); excepted_cavity_tray: got (False,False); excepted_firestopping: got (False,False)"
exception,cand18,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,6,0,verdict_mismatch,True,True,True,7,exception|priority,"clear_compliant: got (False,False); clear_violation: got (False,False); excepted_cavity_tray: got (False,False); excepted_firestopping: got (False,False)"
exception,cand20,original,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,3,exception|priority,"clear_compliant: got (False,False); clear_violation: got (False,False); exception_appearance: got (False,False); distractor_exception_plus_compliance: got (False,False)"
exception,cand20,perturbed,lrml,openai:gpt-5.6-sol,30,1,1,5,0,verdict_mismatch,True,True,True,3,exception|priority,"clear_compliant: got (False,False); clear_violation: got (False,False); exception_appearance: got (False,False); distractor_exception_plus_compliance: got (False,False)"
exception,cand21,original,lrml,openai:gpt-5.6-sol,30,1,1,6,0,verdict_mismatch,True,True,True,3,exception|priority,"clear_compliant: got (False,False); clear_violation: got (False,False); boundary_exactly_800: got (False,False); exception_turning_circle: got (False,False)"
