slice,example_id,variant,arm,model,k,attempts,cases_passed,cases_total,suite_exact,failure_mode,ir_parses,ir_wellformed,ir_known_deontic,ir_unknown_fns,tags,notes
comparability,0085ecdd,original,lrml-parity,anthropic:claude-haiku-4-5,30,1,1,6,0,verdict_mismatch,True,True,True,0,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); boundary_exactly_800: got (False,False); one_of_two_sides_suffices: got (False,False)"
comparability,0085ecdd,perturbed,lrml-parity,anthropic:claude-haiku-4-5,30,1,1,6,0,verdict_mismatch,True,True,True,0,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); boundary_exactly_800: got (False,False); one_of_two_sides_suffices: got (False,False)"
comparability,0219127c,original,lrml-parity,anthropic:claude-haiku-4-5,30,1,1,6,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation_no_socket: got (False,False); socket_present_but_unsuitable: got (False,False); suitable_socket_but_far: got (False,False)"
comparability,0219127c,perturbed,lrml-parity,anthropic:claude-haiku-4-5,30,1,1,6,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation_no_socket: got (False,False); socket_present_but_unsuitable: got (False,False); suitable_socket_but_far: got (False,False)"
comparability,02f5e3fb,original,lrml-parity,anthropic:claude-haiku-4-5,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,02f5e3fb,perturbed,lrml-parity,anthropic:claude-haiku-4-5,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,08efb7a8,original,lrml-parity,anthropic:claude-haiku-4-5,30,1,1,4,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,08efb7a8,perturbed,lrml-parity,anthropic:claude-haiku-4-5,30,1,1,4,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,09b2a395,original,lrml-parity,anthropic:claude-haiku-4-5,30,1,1,7,0,runtime_reject,True,True,True,2,threshold,"clear_compliant: ordered comparison over non-numbers: corner_distance_door_entry_control_corne >= 300.0; clear_violation_too_high: got (False,False); boundary_height_900_and_1000: ordered comparison o"
comparability,09b2a395,perturbed,lrml-parity,anthropic:claude-haiku-4-5,30,1,0,7,0,runtime_reject,True,True,True,4,threshold,clear_compliant: ordered comparison over non-numbers: mounting_height_door_entry_control >= 900.0; clear_violation_too_high: ordered comparison over non-numbers: mounting_height_door_entry_control >= 
comparability,0aaf71f0,original,lrml-parity,anthropic:claude-haiku-4-5,30,1,5,5,1,,True,True,True,1,threshold|necessity,
comparability,0aaf71f0,perturbed,lrml-parity,anthropic:claude-haiku-4-5,30,1,5,5,1,,True,True,True,1,threshold|necessity,
comparability,0edb92b7,original,lrml-parity,anthropic:claude-haiku-4-5,30,1,1,5,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); violation_no_flow_away: got (False,False); violation_causes_problems: got (False,False); distractor: got (False,False)"
comparability,0edb92b7,perturbed,lrml-parity,anthropic:claude-haiku-4-5,30,1,1,5,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); violation_no_flow_away: got (False,False); violation_causes_problems: got (False,False); distractor: got (False,False)"
comparability,12e545d1,original,lrml-parity,anthropic:claude-haiku-4-5,30,1,1,5,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); violation_one_pair_of_three: got (False,False); compliant_three_facades_all_pairs: got (False,False)"
comparability,12e545d1,perturbed,lrml-parity,anthropic:claude-haiku-4-5,30,1,1,5,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); violation_one_pair_of_three: got (False,False); compliant_three_facades_all_pairs: got (False,False)"
comparability,14d1a086,original,lrml-parity,anthropic:claude-haiku-4-5,30,1,1,4,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation_one_floor: got (False,False); distractor: got (False,False)"
comparability,14d1a086,perturbed,lrml-parity,anthropic:claude-haiku-4-5,30,1,1,4,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation_one_floor: got (False,False); distractor: got (False,False)"
comparability,1ebce0c9,original,lrml-parity,anthropic:claude-haiku-4-5,30,1,0,5,0,runtime_reject,True,True,True,1,necessity,clear_compliant: ordered comparison over non-numbers: load_capacity_enclosure_element_sanitary >= 1.5; clear_violation_one_weak_wall: ordered comparison over non-numbers: load_capacity_enclosure_eleme
comparability,1ebce0c9,perturbed,lrml-parity,anthropic:claude-haiku-4-5,30,1,0,5,0,runtime_reject,True,True,True,1,necessity,clear_compliant: ordered comparison over non-numbers: load_capacity_enclosure_element_sanitary >= 1.5; clear_violation_one_weak_wall: ordered comparison over non-numbers: load_capacity_enclosure_eleme
comparability,20518e80,original,lrml-parity,anthropic:claude-haiku-4-5,30,1,1,4,0,verdict_mismatch,True,True,True,1,threshold,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,20518e80,perturbed,lrml-parity,anthropic:claude-haiku-4-5,30,1,1,4,0,verdict_mismatch,True,True,True,2,threshold,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,23db27ac,original,lrml-parity,anthropic:claude-haiku-4-5,30,1,5,5,1,,True,True,True,3,necessity,
comparability,23db27ac,perturbed,lrml-parity,anthropic:claude-haiku-4-5,30,1,5,5,1,,True,True,True,4,necessity,
comparability,2af8ee5f,original,lrml-parity,anthropic:claude-haiku-4-5,30,1,4,6,0,verdict_mismatch,True,True,True,3,necessity,"hood_not_extracting_outside_exempt: got (False,False); violation_hood_extracting_outside: got (False,False)"
comparability,2af8ee5f,perturbed,lrml-parity,anthropic:claude-haiku-4-5,30,1,4,6,0,verdict_mismatch,True,True,True,3,necessity,"hood_not_extracting_outside_exempt: got (False,False); violation_hood_extracting_outside: got (False,False)"
