example_id,doc,country,has_thresh,has_necessity,content
0085ecdd-f2f0-45f5-948d-ded697c69866,Finnish_Accessibility,Finnish,True,True,"In addition, on one side of the toilet seat there shall be a free space of at least 800 millimetres."
0219127c-2f2d-4b13-aafa-261c1fc39ffc,UK_DocM_V1_AccessAndUseOfBuildings,UK,False,True,"A power socket, suitable for powering the lifting device, is provided close to the liftway."
02f5e3fb-7a8b-4a88-a6e5-337cc0835284,UK_DocO_Overheating,UK,False,True,"When a new residential building is erected, information about the building must be given to the owner of the building to allow them to use the overheating mitigation strategy effectively."
08efb7a8-1f9e-491b-8a6f-7043ec96ea3b,UK_DocS_InfrastructureForChargingOfElectricalVehicles,UK,False,True,The methodology for determining costs should be consistent between all elements of the calculation to allow a fair comparison between the cost of the major renovation and the cost of electric vehicle charge point infrastructure.
09b2a395-5293-4b7d-82d4-5312482d59e9,UK_DocM_V1_AccessAndUseOfBuildings,UK,True,False,"Door entry controls, where provided, are mounted 900-1000mm above finished ground level, and at least 300mm away from any projecting corner."
0a7ff0c7-c5f9-4069-9d7e-2bfd6c4871d3,UK_DocL_V1_ConsrvationOfFuelAndPower,UK,True,False,The floor area of the extension does not exceed 30m2.
0aaf71f0-a482-4a72-a407-0d6db79c7f6f,Finnish_FireSafety,Finnish,True,True,"In a building consisting primarily of one storey, no more than 200 m2 of fire-compartmented and no more than 50 m2 of non-fire-compartmented areas that essentially relate to the business of the building may be located on the level of second storey."
0edb92b7-a2e1-480f-b708-e7e6c9951a79,Finnish_Health-WaterAndSewerage,Finnish,False,True,The foundation drainage water shall flow away from the property in such a way that it does not cause problems to the waste water and storm water systems.
12907c6f-e734-436d-a7de-c8a1626fbe92,UK_DocM_V2_AccessAndUseOfBuildings,UK,True,False,"Both:the area of rooflights exceeds 20 of the area of the roof, and the design solar load exceeds 25W/m2."
12e545d1-64f4-45c9-a520-5b8a003eba0a,UK_DocF_V1_Ventilation,UK,True,True,"If the dwelling has more than one exposed facade, the area of background ventilators on each facade should be similar, to allow cross-ventilation."
14d1a086-d933-4946-b222-98f707d16c03,UK_DocM_V1_AccessAndUseOfBuildings,UK,False,True,Lifting devices should be positioned with the end opposite to the entry point located against a wall at every floor level.
1ebce0c9-705c-47ee-8429-e83cfbed72db,UK_DocM_V1_AccessAndUseOfBuildings,UK,False,True,"All walls, ducts and boxings to every WC/cloakroom, bath and shower room are strong enough to support grab rails, seats and other adaptations that could impose a load of 1.5kN/m2."
20518e80-6f7e-457f-8c5a-59fa4c0eb324,Finnish_EnergyEfficiency,Finnish,True,False,"When calculating the heat loss for a buildings design solution, the design value shall be used as the value of the air leakage rate figure for the building envelope."
23db27ac-b594-4b26-883d-922d713d382a,UK_DocM_V2_AccessAndUseOfBuildings,UK,False,True,"When installing or renovating thermal elements, the element being installed should be draught-proofed and airleakage gaps should be filled."
2af8ee5f-9d05-4023-9365-d093ebdfba1f,UK_DocF_V1_Ventilation,UK,False,True,"Where building work is carried out in a kitchen or bathroom, any existing fans (including cooker hoods, where they extract to the outside) should be retained or replaced."
2b60007d-59a3-4a18-a184-89e76ee17454,UK_DocL_V1_ConsrvationOfFuelAndPower,UK,False,True,Masonry construction: external or cavity wall insulation should extend below the damp-proof course (where applicable) and be at least the equivalent of one full block height (215mm) below the underside of the floor structure/slab and beyond the depth of the floor insulation.
2cc3d5b0-d3b4-45f2-a00d-838fd3f9abbb,UK_DocF_V2_Ventilation,UK,True,True,"There should be a supply rate, in the absence of tobacco smoke or other excessive pollutants, of 10 litres per second per person."
2f75848b-a39a-41d3-a6bf-25ef1154bcff,UK_DocM_V2_AccessAndUseOfBuildings,UK,False,True,"Where appropriate, these should be automated (with manual override) so that energy savings are maximised."
31d635b2-1d32-49dd-a848-5b5acaf50128,UK_DocL_V1_ConsrvationOfFuelAndPower,UK,False,True,"For existing dwellings, when installing a complete new or replacement system (e.g. replacing a heating system including the heating appliance, pipework and heat emitters), the energy performance of the whole system should be assessed."
328fb8e7-cae4-4465-b7a7-24f0d066d65a,UK_DocM_V2_AccessAndUseOfBuildings,UK,False,True,"The results of all pressure tests on buildings, including any test failures, should be reported to the building control body."
382038df-4d45-443d-a52a-8a83e6048d1e,Finnish_StabilityOfStructures,Finnish,True,True,At least 30% of the ties shall be located in the immediate vicinity of the grid lines of the columns and the walls.
38322c6e-7509-4638-9a8d-74d5cfb777b2,UK_DocL_V1_ConsrvationOfFuelAndPower,UK,False,True,A new district heat network should be taken as meaning any other district heat network.
4e8c5c50-44af-48f6-b959-e6f9b31afa1e,UK_DocM_V2_AccessAndUseOfBuildings,UK,True,False,"If the planned time of use of a modular or portable building in a single location is less than two years, the only practical heating technology may be electric resistance heating."
526d7a82-6362-4fce-8d58-1ab0b0005235,Finnish_Health-Humidity,Finnish,False,True,The structures of the wet rooms must be rigid enough that the thermal and moisture movements do no damage the wet room waterproofing or surface structures.
5fe7997a-7e99-485c-89b3-7912d7c8d44d,UK_DocF_V1_Ventilation,UK,False,True,"If the total flow rate cannot be achieved through all the terminals, then the fan speed should be increased."
6187cad8-0d6d-4154-b98b-7285b36fea8d,UK_DocF_V1_Ventilation,UK,False,True,Continuously running fans should be set up to operate without occupant intervention but may have manual or automatic controls for selecting the high rate of operation.
6414854d-01f9-481f-a7f4-c4581e48d8b1,UK_DocK_ProtectionFromFalling,UK,True,False,Special safety features are not necessary if the ladder is not more than 6m long.
675c4d48-3eef-463a-8516-edd71ee983e3,UK_DocF_V1_Ventilation,UK,False,True,Adequate space should be available for access to maintain ventilation equipment.
681c4394-9435-408b-9a9b-d1f3d0729d38,UK_DocL_V1_ConsrvationOfFuelAndPower,UK,False,True,"The rate of heat release from the appliance should be adjustable, using an adjustable damper or other thermostatically controlled method."
6a41a473-bd3c-4e38-a093-094b3fdae388,UK_DocS_InfrastructureForChargingOfElectricalVehicles,UK,True,True,At least one in every five remaining parking spaces must be provided with cable routes.
78d904cd-b605-43a6-b3a4-34c22f557123,UK_DocL_V1_ConsrvationOfFuelAndPower,UK,False,True,"Instead, the dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate should be calculated as if the area covered by the pool were replaced with the equivalent area of floor with the same U-value as the pool surround."
7db23e3b-7063-47a3-b65e-5d02ad78c922,Finnish_Health-IndoorClimateAndVentilation,Finnish,False,True,"In a natural ventilation system, the ventilation valves shall be easy to close."
7f49ccb1-ce2c-47eb-8b22-2c8e806e5d88,UK_DocQ_Security_Dwellings,UK,True,True,The resilient layer should be to the full height of the door and 600mm either side of the doorset.
80221d2c-8ba8-4700-b219-c35fde50f35e,Finnish_Health-WaterAndSewerage,Finnish,True,True,No more than two drainage wells may be connected to a floor drain and they may be located at a maximum distance of three meters from the floor drain.
82aa0792-8ea3-414a-9952-933b4959b782,UK_DocM_V2_AccessAndUseOfBuildings,UK,False,False,"NOTE: All boilers should be used in the calculation, including any that are identical."
