slice,example_id,variant,arm,model,k,attempts,cases_passed,cases_total,suite_exact,failure_mode,ir_parses,ir_wellformed,ir_known_deontic,ir_unknown_fns,tags,notes
comparability,0085ecdd,original,lrml-v2,openai:gpt-5.6-luna,30,1,1,6,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); boundary_exactly_800: got (False,False); one_of_two_sides_suffices: got (False,False)"
comparability,0085ecdd,perturbed,lrml-v2,openai:gpt-5.6-luna,30,1,1,6,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); boundary_exactly_800: got (False,False); one_of_two_sides_suffices: got (False,False)"
comparability,0219127c,original,lrml-v2,openai:gpt-5.6-luna,30,1,6,6,1,,True,True,True,2,necessity,
comparability,0219127c,perturbed,lrml-v2,openai:gpt-5.6-luna,30,1,6,6,1,,True,True,True,2,necessity,
comparability,02f5e3fb,original,lrml-v2,openai:gpt-5.6-luna,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,02f5e3fb,perturbed,lrml-v2,openai:gpt-5.6-luna,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,08efb7a8,original,lrml-v2,openai:gpt-5.6-luna,30,1,1,4,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,08efb7a8,perturbed,lrml-v2,openai:gpt-5.6-luna,30,1,4,4,1,,True,True,True,1,necessity,
comparability,09b2a395,original,lrml-v2,openai:gpt-5.6-luna,30,1,1,7,0,verdict_mismatch,True,True,True,0,threshold,"clear_compliant: got (False,False); clear_violation_too_high: got (False,False); boundary_height_900_and_1000: got (False,False); boundary_corner_exactly_300: got (False,False)"
comparability,09b2a395,perturbed,lrml-v2,openai:gpt-5.6-luna,30,1,2,7,0,runtime_reject,True,True,True,3,threshold,"clear_compliant: ordered comparison over non-numbers: mounting_height_door_entry_control >= 900.0; boundary_height_900_and_1000: got (True,True); boundary_corner_exactly_300: ordered comparison over n"
comparability,0aaf71f0,original,lrml-v2,openai:gpt-5.6-luna,30,1,0,5,0,runtime_reject,True,True,True,3,threshold|necessity,clear_compliant: ordered comparison over non-numbers: fc_business_area_second_storey_building <= 200.0; violation_fc_over: ordered comparison over non-numbers: fc_business_area_second_storey_building 
comparability,0aaf71f0,perturbed,lrml-v2,openai:gpt-5.6-luna,30,1,3,5,0,verdict_mismatch,True,True,True,3,threshold|necessity,"violation_fc_over: got (True,False); violation_nfc_over: got (True,False)"
comparability,0edb92b7,original,lrml-v2,openai:gpt-5.6-luna,30,1,1,5,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); violation_no_flow_away: got (False,False); violation_causes_problems: got (False,False); distractor: got (False,False)"
comparability,0edb92b7,perturbed,lrml-v2,openai:gpt-5.6-luna,30,1,1,5,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); violation_no_flow_away: got (False,False); violation_causes_problems: got (False,False); distractor: got (False,False)"
comparability,12e545d1,original,lrml-v2,openai:gpt-5.6-luna,30,1,1,5,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); violation_one_pair_of_three: got (False,False); compliant_three_facades_all_pairs: got (False,False)"
comparability,12e545d1,perturbed,lrml-v2,openai:gpt-5.6-luna,30,1,1,5,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); violation_one_pair_of_three: got (False,False); compliant_three_facades_all_pairs: got (False,False)"
