slice,example_id,variant,arm,model,k,attempts,cases_passed,cases_total,suite_exact,failure_mode,ir_parses,ir_wellformed,ir_known_deontic,ir_unknown_fns,tags,notes
comparability,0085ecdd,original,lrml-parity,openai:gpt-5.6-luna,30,1,1,6,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); boundary_exactly_800: got (False,False); one_of_two_sides_suffices: got (False,False)"
comparability,0085ecdd,perturbed,lrml-parity,openai:gpt-5.6-luna,30,1,1,6,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); boundary_exactly_800: got (False,False); one_of_two_sides_suffices: got (False,False)"
comparability,0219127c,original,lrml-parity,openai:gpt-5.6-luna,30,1,6,6,1,,True,True,True,2,necessity,
comparability,0219127c,perturbed,lrml-parity,openai:gpt-5.6-luna,30,1,6,6,1,,True,True,True,2,necessity,
comparability,02f5e3fb,original,lrml-parity,openai:gpt-5.6-luna,30,1,4,4,1,,True,True,True,1,necessity,
comparability,02f5e3fb,perturbed,lrml-parity,openai:gpt-5.6-luna,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,08efb7a8,original,lrml-parity,openai:gpt-5.6-luna,30,1,4,4,1,,True,True,True,1,necessity,
comparability,08efb7a8,perturbed,lrml-parity,openai:gpt-5.6-luna,30,1,4,4,1,,True,True,True,1,necessity,
comparability,09b2a395,original,lrml-parity,openai:gpt-5.6-luna,30,1,0,7,0,runtime_reject,True,True,True,3,threshold,clear_compliant: ordered comparison over non-numbers: mounting_height_door_entry_control >= 900.0; clear_violation_too_high: ordered comparison over non-numbers: mounting_height_door_entry_control >= 
comparability,09b2a395,perturbed,lrml-parity,openai:gpt-5.6-luna,30,1,4,7,0,verdict_mismatch,True,True,True,0,threshold,"clear_compliant: got (True,True); boundary_height_900_and_1000: got (True,True); boundary_corner_exactly_300: got (True,True)"
comparability,0aaf71f0,original,lrml-parity,openai:gpt-5.6-luna,30,1,0,5,0,runtime_reject,True,True,True,4,threshold|necessity,clear_compliant: ordered comparison over non-numbers: fc_business_area_second_storey_b <= 200.0; violation_fc_over: ordered comparison over non-numbers: fc_business_area_second_storey_b <= 200.0; viol
comparability,0aaf71f0,perturbed,lrml-parity,openai:gpt-5.6-luna,30,1,0,5,0,runtime_reject,True,True,True,3,threshold|necessity,clear_compliant: ordered comparison over non-numbers: fc_business_area_second_storey_building <= 200.0; violation_fc_over: ordered comparison over non-numbers: fc_business_area_second_storey_building 
comparability,0edb92b7,original,lrml-parity,openai:gpt-5.6-luna,30,1,1,5,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); violation_no_flow_away: got (False,False); violation_causes_problems: got (False,False); distractor: got (False,False)"
comparability,0edb92b7,perturbed,lrml-parity,openai:gpt-5.6-luna,30,1,1,5,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); violation_no_flow_away: got (False,False); violation_causes_problems: got (False,False); distractor: got (False,False)"
comparability,12e545d1,original,lrml-parity,openai:gpt-5.6-luna,30,1,1,5,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); violation_one_pair_of_three: got (False,False); compliant_three_facades_all_pairs: got (False,False)"
comparability,12e545d1,perturbed,lrml-parity,openai:gpt-5.6-luna,30,1,1,5,0,verdict_mismatch,True,True,True,4,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); violation_one_pair_of_three: got (False,False); compliant_three_facades_all_pairs: got (False,False)"
comparability,14d1a086,original,lrml-parity,openai:gpt-5.6-luna,30,1,2,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (True,True); distractor: got (True,True)"
comparability,14d1a086,perturbed,lrml-parity,openai:gpt-5.6-luna,30,1,2,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (True,True); distractor: got (True,True)"
