slice,example_id,variant,arm,model,k,attempts,cases_passed,cases_total,suite_exact,failure_mode,ir_parses,ir_wellformed,ir_known_deontic,ir_unknown_fns,tags,notes
comparability,0085ecdd,original,lrml-stmt,openai:gpt-5.6-luna,30,1,1,6,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); boundary_exactly_800: got (False,False); one_of_two_sides_suffices: got (False,False)"
comparability,0085ecdd,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,1,6,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); boundary_exactly_800: got (False,False); one_of_two_sides_suffices: got (False,False)"
comparability,0219127c,original,lrml-stmt,openai:gpt-5.6-luna,30,1,4,6,0,verdict_mismatch,True,True,True,2,necessity,"clear_violation_no_socket: got (False,False); socket_present_but_unsuitable: got (False,False)"
comparability,0219127c,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,4,6,0,verdict_mismatch,True,True,True,2,necessity,"clear_violation_no_socket: got (False,False); socket_present_but_unsuitable: got (False,False)"
comparability,02f5e3fb,original,lrml-stmt,openai:gpt-5.6-luna,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,02f5e3fb,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,08efb7a8,original,lrml-stmt,openai:gpt-5.6-luna,30,1,4,4,1,,True,True,True,1,necessity,
comparability,08efb7a8,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,4,4,1,,True,True,True,1,necessity,
comparability,09b2a395,original,lrml-stmt,openai:gpt-5.6-luna,30,1,4,7,0,verdict_mismatch,True,True,True,0,threshold,"clear_compliant: got (True,True); boundary_height_900_and_1000: got (True,True); boundary_corner_exactly_300: got (True,True)"
comparability,09b2a395,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,3,7,0,runtime_reject,True,True,True,1,threshold,"clear_compliant: ordered comparison over non-numbers: corner_distance_door_entry_control_proje >= 300.0; boundary_height_900_and_1000: got (True,True); boundary_corner_exactly_300: ordered comparison "
comparability,0aaf71f0,original,lrml-stmt,openai:gpt-5.6-luna,30,1,0,5,0,runtime_reject,True,True,True,3,threshold|necessity,clear_compliant: ordered comparison over non-numbers: fc_business_area_second_storey_building <= 200.0; violation_fc_over: ordered comparison over non-numbers: fc_business_area_second_storey_building 
comparability,0aaf71f0,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,0,5,0,runtime_reject,True,True,True,3,threshold|necessity,clear_compliant: ordered comparison over non-numbers: fc_business_area_second_storey_building <= 200.0; violation_fc_over: ordered comparison over non-numbers: fc_business_area_second_storey_building 
comparability,0edb92b7,original,lrml-stmt,openai:gpt-5.6-luna,30,1,1,5,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); violation_no_flow_away: got (False,False); violation_causes_problems: got (False,False); distractor: got (False,False)"
comparability,0edb92b7,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,1,5,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); violation_no_flow_away: got (False,False); violation_causes_problems: got (False,False); distractor: got (False,False)"
comparability,12e545d1,original,lrml-stmt,openai:gpt-5.6-luna,30,1,1,5,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); violation_one_pair_of_three: got (False,False); compliant_three_facades_all_pairs: got (False,False)"
comparability,12e545d1,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,1,5,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); violation_one_pair_of_three: got (False,False); compliant_three_facades_all_pairs: got (False,False)"
comparability,14d1a086,original,lrml-stmt,openai:gpt-5.6-luna,30,1,2,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (True,True); distractor: got (True,True)"
comparability,14d1a086,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,2,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (True,True); distractor: got (True,True)"
comparability,1ebce0c9,original,lrml-stmt,openai:gpt-5.6-luna,30,1,2,5,0,verdict_mismatch,True,True,True,0,necessity,"clear_compliant: got (True,True); boundary_exactly_15: got (True,True); distractor: got (True,True)"
comparability,1ebce0c9,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,2,5,0,verdict_mismatch,True,True,True,0,necessity,"clear_compliant: got (True,True); boundary_exactly_15: got (True,True); distractor: got (True,True)"
comparability,20518e80,original,lrml-stmt,openai:gpt-5.6-luna,30,1,2,4,0,verdict_mismatch,True,True,True,1,threshold,"clear_compliant: got (True,True); distractor: got (True,True)"
comparability,20518e80,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,4,4,1,,True,True,True,1,threshold,
comparability,23db27ac,original,lrml-stmt,openai:gpt-5.6-luna,30,1,5,5,1,,True,True,True,3,necessity,
comparability,23db27ac,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,5,5,1,,True,True,True,3,necessity,
comparability,2af8ee5f,original,lrml-stmt,openai:gpt-5.6-luna,30,1,5,6,0,verdict_mismatch,True,True,True,4,necessity,"hood_not_extracting_outside_exempt: got (False,False)"
comparability,2af8ee5f,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,3,6,0,verdict_mismatch,True,True,True,6,necessity,"clear_compliant_retained: got (True,True); compliant_replaced: got (True,True); hood_not_extracting_outside_exempt: got (False,False)"
comparability,2b60007d,original,lrml-stmt,openai:gpt-5.6-luna,30,1,6,7,0,verdict_mismatch,True,True,True,2,necessity,"boundary_215_and_equal_floor_depth: got (True,True)"
comparability,2b60007d,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,3,7,0,runtime_reject,True,True,True,2,necessity,clear_compliant: ordered comparison over non-numbers: 250.0 > floor_insulation_depth; boundary_215_and_equal_floor_depth: ordered comparison over non-numbers: 215.0 > floor_insulation_depth; compliant
comparability,2cc3d5b0,original,lrml-stmt,openai:gpt-5.6-luna,30,1,1,6,0,runtime_reject,True,True,True,2,threshold|necessity,clear_compliant: ordered comparison over non-numbers: supply_rate_per_person_occupied_space >= 10.0; clear_violation: ordered comparison over non-numbers: supply_rate_per_person_occupied_space >= 10.0
comparability,2cc3d5b0,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,1,6,0,runtime_reject,True,True,True,2,threshold|necessity,clear_compliant: ordered comparison over non-numbers: supply_rate_per_person_occupied_space >= 10.0; clear_violation: ordered comparison over non-numbers: supply_rate_per_person_occupied_space >= 10.0
comparability,31d635b2,original,lrml-stmt,openai:gpt-5.6-luna,30,1,2,5,0,verdict_mismatch,True,True,True,3,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,31d635b2,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,2,5,0,verdict_mismatch,True,True,True,3,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,328fb8e7,original,lrml-stmt,openai:gpt-5.6-luna,30,1,5,5,1,,True,True,True,1,necessity,
comparability,328fb8e7,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,5,5,1,,True,True,True,1,necessity,
comparability,526d7a82,original,lrml-stmt,openai:gpt-5.6-luna,30,1,1,5,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); violation_one_of_two: got (False,False); distractor: got (False,False)"
comparability,526d7a82,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,1,5,0,verdict_mismatch,True,True,True,4,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); violation_one_of_two: got (False,False); distractor: got (False,False)"
comparability,5fe7997a,original,lrml-stmt,openai:gpt-5.6-luna,30,1,4,4,1,,True,True,True,2,necessity,
comparability,5fe7997a,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,6187cad8,original,lrml-stmt,openai:gpt-5.6-luna,30,1,4,4,1,,True,True,True,1,necessity,
comparability,6187cad8,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,4,4,1,,True,True,True,1,necessity,
comparability,6414854d,original,lrml-stmt,openai:gpt-5.6-luna,30,1,3,5,0,verdict_mismatch,True,True,True,1,threshold,"compliant_short_no_features: got (True,True); boundary_exactly_6m: got (True,True)"
comparability,6414854d,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,3,5,0,verdict_mismatch,True,True,True,1,threshold,"compliant_short_no_features: got (True,True); boundary_exactly_6m: got (True,True)"
comparability,675c4d48,original,lrml-stmt,openai:gpt-5.6-luna,30,1,4,4,1,,True,True,True,1,necessity,
comparability,675c4d48,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,4,4,1,,True,True,True,1,necessity,
comparability,681c4394,original,lrml-stmt,openai:gpt-5.6-luna,30,1,2,5,0,verdict_mismatch,True,True,True,3,necessity,"compliant_damper: got (True,True); compliant_thermostat: got (True,True); distractor_both_means: got (True,True)"
comparability,681c4394,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,5,5,1,,True,True,True,2,necessity,
comparability,78d904cd,original,lrml-stmt,openai:gpt-5.6-luna,30,1,2,5,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (True,True); no_calculation_yet: got (True,True); distractor: got (True,True)"
comparability,78d904cd,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,2,5,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (True,True); no_calculation_yet: got (True,True); distractor: got (True,True)"
comparability,7db23e3b,original,lrml-stmt,openai:gpt-5.6-luna,30,1,1,5,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation_one_valve: got (False,False); no_valves_vacuous: got (False,False); distractor: got (False,False)"
comparability,7db23e3b,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,1,5,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation_one_valve: got (False,False); no_valves_vacuous: got (False,False); distractor: got (False,False)"
comparability,7f49ccb1,original,lrml-stmt,openai:gpt-5.6-luna,30,1,1,5,0,verdict_mismatch,True,True,True,0,threshold|necessity,"clear_compliant: got (False,False); violation_short_height: got (False,False); violation_left_side_short: got (False,False); boundary_exact: got (False,False)"
comparability,7f49ccb1,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,1,5,0,verdict_mismatch,True,True,True,0,threshold|necessity,"clear_compliant: got (False,False); violation_short_height: got (False,False); violation_left_side_short: got (False,False); boundary_exact: got (False,False)"
comparability,80221d2c,original,lrml-stmt,openai:gpt-5.6-luna,30,1,3,6,0,verdict_mismatch,True,True,True,0,threshold|necessity,"clear_compliant_two_wells: got (True,True); boundary_exactly_3000: got (True,True); distractor_two_drains: got (True,True)"
comparability,80221d2c,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,3,6,0,verdict_mismatch,True,True,True,2,threshold|necessity,"clear_compliant_two_wells: got (True,True); boundary_exactly_3000: got (True,True); distractor_two_drains: got (True,True)"
comparability,82aa0792,original,lrml-stmt,openai:gpt-5.6-luna,30,1,3,4,0,verdict_mismatch,True,True,True,1,,"distractor_no_boilers: got (False,False)"
comparability,82aa0792,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,3,4,0,verdict_mismatch,True,True,True,1,,"distractor_no_boilers: got (False,False)"
comparability,8421f806,original,lrml-stmt,openai:gpt-5.6-luna,30,1,1,6,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant_gentle: got (False,False); clear_violation_steep_unramped: got (False,False); boundary_exactly_1_in_20: got (False,False); compliant_steep_but_ramped: got (False,False)"
comparability,8421f806,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,1,6,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant_gentle: got (False,False); clear_violation_steep_unramped: got (False,False); boundary_exactly_1_in_20: got (False,False); compliant_steep_but_ramped: got (False,False)"
comparability,87c9c5f5,original,lrml-stmt,openai:gpt-5.6-luna,30,1,4,4,1,,True,True,True,1,necessity,
comparability,87c9c5f5,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,4,4,1,,True,True,True,1,necessity,
comparability,8aa4b706,original,lrml-stmt,openai:gpt-5.6-luna,30,1,2,4,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (True,True); distractor: got (True,True)"
comparability,8aa4b706,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,1,4,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation_one_part: got (False,False); distractor: got (False,False)"
comparability,8fec1c4a,original,lrml-stmt,openai:gpt-5.6-luna,30,1,1,4,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation_one_of_two: got (False,False); no_penetrations_vacuous: got (False,False)"
comparability,8fec1c4a,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation_one_of_two: got (False,False); no_penetrations_vacuous: got (False,False)"
comparability,9a574829,original,lrml-stmt,openai:gpt-5.6-luna,30,1,2,4,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (True,True); distractor: got (True,True)"
comparability,9a574829,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,4,4,1,,True,True,True,1,necessity,
comparability,9dd2a0f1,original,lrml-stmt,openai:gpt-5.6-luna,30,1,0,6,0,runtime_reject,True,True,True,2,threshold|necessity,clear_compliant: ordered comparison over non-numbers: cross_section_area_mech_vent_duct > 0.06; clear_violation: ordered comparison over non-numbers: cross_section_area_mech_vent_duct > 0.06; boundary
comparability,9dd2a0f1,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,6,6,1,,True,True,True,1,threshold|necessity,
comparability,9ff8b8fd,original,lrml-stmt,openai:gpt-5.6-luna,30,1,5,5,1,,True,True,True,0,threshold,
comparability,9ff8b8fd,perturbed,lrml-stmt,openai:gpt-5.6-luna,30,1,5,5,1,,True,True,True,0,threshold,
