cand_idx,source_doc,line,pattern,rationale,sentence,following_context
1,Approved_Document_B_vol_2,4742,scoping-list,'does not apply to any of the following cavities' — scoping exception with enumerated carve-outs,9.10  Table 9.1 does not apply to any of the following cavities.,a. | A cavity in a wall that is fire resisting only because it is loadbearing.
2,Approved_Document_L_Volume_1_Content.txt,3562,default-plus-demonstration,"floor set by existing system, exception when smaller demonstrated adequate — rebuttable default","no less than that of the existing system, except where a smaller system can be demonstrated to be",more appropriate or effective (e.g.
8,Approved_Document M_V2_Content.txt,526,threshold-plus-exception,switch height 400-1200mm unless higher needed for particular appliances,"b. switches for permanently wired appliances are located between 400mm and 1200mm above the floor , unless needed at a higher level for particular appliances ;",c. all switches and controls that require precise hand movements are located between 750mm and 1200mm above the floor ; | d. simple push button controls that require limited dexterity are not more tha
16,Approved_Document_K,1180,cross-reference-exception,doors not swinging across landings except where compliant with para 1.21c — exception by citation,"Doors that do not swing across landings, except where they comply with paragraph 1.21c.","c.  For access for maintenance, see paragraph 1.42. | For dwellings"
18,Approved_Document_B_vol_2,5931,material-class-list-exception,"only class A1/A2s1,d0 materials except enumerated list","Only contain materials achieving class A1 or A2s1, d0, except for any of the following.",Cavity trays when used between two leaves of masonry. | Intumescent and firestopping materials where the inclusion of the materials is necessary to
20,Approved_Document_F_V1,101,historic-appearance-exception,"standards apply unless need to match external appearance/character (recurring pattern, one representative)",in this approved document unless there is a need to match the external appearance or character of,the extension to that of the host building.
21,Approved_Document_M_vol_1,2102,threshold-plus-alternative,800mm from corner unless 1500mm turning circle provided — dimensional either/or,"a minimum of 800mm from the corner, as shown in Diagram 3.5, unless a 1500mm turning circle",is provided immediately outside the door.
27,Approved_Document_B_vol_1,2941,exemption-with-disjunction,roof-only structure exempt unless either of two conditions applies,"A structure that supports only a roof, unless either of the following applies.","The roof performs the function of a floor, such as a roof terrace, or as a means of escape. | ii."
31,Approved_Document_B_vol_2,1991,scoping-alternative-escape,does not apply if alternative escape routes exist from foot of external stair,This does not apply if there are alternative escape routes from the foot of the external,escape stair.
32,Approved_Document_M_vol_1,3411,device-based-exception,height-range rule unless remote opening device within range,unless fitted with a remote opening device that is within this height range.,"e.  Handles to all other windows are 4501200mm above floor level, unless the window is fitted"
37,Approved_Document_B_vol_1,3584,rebuttable-default-value,deflection assumed 40mm unless smaller value justified by assessment — default value + burden,the deflection may be assumed to be 40mm unless a smaller value can be justified by assessment.,"Outside this area, the limit can be reduced linearly to zero at the supports. | For steel beams that do not have the required fire resistance, reference should be made to SCI"
40,Approved_Document_S,777,cost-threshold-exception,EV-infrastructure duty except where cost exceeds 7% of major renovation cost,except where the cost of that installation exceeds 7 of the total cost of the major renovation.,(5)   The requirements of paragraph S3 of Schedule 1 do not apply to a residential building which is undergoing
43,Approved_Document M_V2_Content.txt,330,recess-exception,"door to corridor recessed when open, except where... — geometric duty + carve-out","g. any door opening towards a corridor , which is a major access route or an escape route , should be recessed so that, when fully open, it does not project into the corridor space , except where the doors are to minor utility facilities , such as small store rooms and locked duct cupboards;","h. any door from a unisex wheelchair-accessible toilet projects when open into a corridor that is not a major access route or an escape route , provided the corridor is at least 1800mm wide at that po"
52,Approved_Document_B_vol_2,2742,prohibition-plus-exception,lifts not used in fire unless part of evacuation strategy,"5.32  Generally, lifts should not be used when there is a fire in the building, unless their use forms part",of a management plan for evacuating people and the following conditions are met.
56,Approved_Document_B_vol_2,11407,nested-exception,"fusible link, but not if doorset is escape opening, unless... — two-level nesting","A fusible link, but not if the doorset is in an opening provided as a means of escape unless it",complies with paragraph C7.
57,Approved_Document_B_vol_1,1500,scoping-plus-definition,stair must not connect to covered car park unless open-sided (as defined) — exception via defined term,"c.  The stair does not connect to a covered car park, unless the car park is open sided (as defined",in Section 11 of Approved Document B Volume 2).
65,Approved_Document M_V2_Content.txt,613,threshold-plus-agreement,max 40m on same floor unless greater distance agreed with building control body — discretionary exception,"a. more than 40m on the same floor , unless a greater distance can be agreed with the building control body on the grounds that the circulation route is unobstructed, e.g. by the installation of doors with hold-open devices;","b. more than a 40m combined horizontal distance where the unisex toilet accommodation is on another floor of the building , but is accessible by passenger lift (if a lifting platform is installed , ve"
75,Approved_Document_B_vol_1,1379,scoping-alternative-escape,does not apply if all flats have independent alternative means of escape,Does not apply if all flats on a storey have independent alternative means of escape.,4. | Sheltered housing may require reduced maximum travel distances.
76,Approved_Document_R_vol_1,979,cost-threshold-exception,network connection per new dwelling unless cost exceeds cap,communications network connection for each new dwelling erected unless the cost exceeds the,cost cap of 2000 per dwelling or the network operator declines to provide a connection.
77,Approved_Document_B_vol_2,1722,domain-restriction,"at each storey except top storey, protected lobby required — quantifier carve-out","At each storey except a top storey, stairs should be approached through a protected lobby or",protected corridor.
