source_doc,line,sentence,following_context
Approved_Document_B_vol_1,5304,NOTE: Transposition to a national class (Table B1) does not apply to the classification in this,paragraph.
Approved_Document_B_vol_2,4742,9.10  Table 9.1 does not apply to any of the following cavities.,a. | A cavity in a wall that is fire resisting only because it is loadbearing.
Approved_Document_L_Volume_1_Content.txt,3562,"no less than that of the existing system, except where a smaller system can be demonstrated to be",more appropriate or effective (e.g.
Approved_Document_B_vol_2,886,closing device (but need not necessarily be fire resisting).,"22  Approved Document B Volume 2, 2019 edition"
Approved_Document_7,252,1.20 Regulation 46 does not apply to any work specified in an initial notice or to any work for which a,final certificate has been given by an approved inspector and accepted by the local authority.
Approved_Document_F_V1,1902,"a requirement, but does not apply to the provision or extension of any fixed system for mechanical",ventilation or any associated controls where testing and adjustment is not possible.
Approved_Document_B_vol_1,3692,"Have the appropriate fire resistance given in Appendix B, Table B3, except for uninsulated glazed",screens that meet the provisions of paragraph 7.24.
Approved_Document_B_vol_2,9407,"in the European column, therefore products cannot typically assume a European class unless they",have been tested accordingly.
Approved_Document M_V2_Content.txt,526,"b. switches for permanently wired appliances are located between 400mm and 1200mm above the floor , unless needed at a higher level for particular appliances ;",c. all switches and controls that require precise hand movements are located between 750mm and 1200mm above the floor ; | d. simple push button controls that require limited dexterity are not more tha
Approved_Document_E,7631,"void and roof space, the solid wall need not be",continuous to the underside of the structural floor
Approved_Document_L_Volume_2_Content.txt,282,standards in this approved document unless there is a need to match the external appearance or,character of the extension to that of the host building.
Approved_Document_M_vol_1,655,(d)  does not apply to any part of a building that is,used solely to enable the building or any service
Approved_Document_L_Volume_1_Content.txt,744,"notional building, except wastewater heat recovery, should remain as outlined in Table 1.1.","NOTE: For a dwelling that is connected to a new district heat network, the notional building used"
Approved_Document_B_vol_2,547,S should be selfclosing re doorsets unless the,area is subdivided such that any re in that area
Approved_Document_B_vol_2,4210,"Have the appropriate fire resistance given in Appendix B, Table B3, except for uninsulated glazed",screens that meet the provisions of paragraph 8.34.
Approved_Document_B_vol_2,3918,storage and other nonresidential (except car parks for light vehicles) purpose groups (purpose,groups 3 to 7(a)) require sprinklers where there is a top storey above 30m.
Approved_Document_K,1180,"Doors that do not swing across landings, except where they comply with paragraph 1.21c.","c.  For access for maintenance, see paragraph 1.42. | For dwellings"
Approved_Document_F_V1,2384,provided by mechanical ventilation need not be,"constant but may be varied, under either manual or"
Approved_Document_B_vol_2,5931,"Only contain materials achieving class A1 or A2s1, d0, except for any of the following.",Cavity trays when used between two leaves of masonry. | Intumescent and firestopping materials where the inclusion of the materials is necessary to
Approved_Document_E,161,do not require anything to be done except for the,purpose of securing reasonable standards of health
Approved_Document_F_V1,101,in this approved document unless there is a need to match the external appearance or character of,the extension to that of the host building.
Approved_Document_M_vol_1,2102,"a minimum of 800mm from the corner, as shown in Diagram 3.5, unless a 1500mm turning circle",is provided immediately outside the door.
Approved_Document_L_Volume_1_Content.txt,3749,"(b)  where that regulation does not apply, not more than 30 days after completion of the work.",Building Regulations 2010
Approved_Document_B_vol_1,2171,"B1Materials achieving class Bs3, d2 or worse may be added to the top horizontal surface, except on",firefighting stairs.
Approved_Document_L_Volume_2_Content.txt,4187,"(b)  where that regulation does not apply, not more than 30 days after completion of the work.",Building Regulations 2010
Approved_Document_F_V1,1907,"requirement, but does not apply to the provision or extension of any fixed building service where testing",and adjustment is not possible or would not affect the energy efficiency of that fixed building service.
Approved_Document_B_vol_2,1869,"Materials achieving class Bs3, d2 or worse may be added to the top horizontal surface, except on",firefighting stairs.
Approved_Document_B_vol_1,2941,"A structure that supports only a roof, unless either of the following applies.","The roof performs the function of a floor, such as a roof terrace, or as a means of escape. | ii."
Approved_Document_J,3073,than one room or space except for the purposes of:,a.  inspection or cleaning; or
Approved_Document_B_vol_2,8961,"Travel distance (unless otherwise specified, e.g.",as in the case of flats) The distance that a person
Approved_Document_R_vol_1,39,"renovation works (paragraph R1 does not apply to building work to which paragraph RA1 applies,",e.g.
Approved_Document_B_vol_2,1991,This does not apply if there are alternative escape routes from the foot of the external,escape stair.
Approved_Document_M_vol_1,3411,unless fitted with a remote opening device that is within this height range.,"e.  Handles to all other windows are 4501200mm above floor level, unless the window is fitted"
Approved_Document_S,2152,"by a roof, except garages or carports that are","intended to be used solely by the occupant of,"
Approved_Document_B_vol_1,5196,This restriction does not apply to masonry cavity wall,construction which complies with Diagram 8.2 in Section 8.
Approved_Document_B_vol_2,1983,1100mm above the top landing of the stair (except where the stair leads from basement to,ground level).
Approved_Document_L_Volume_2_Content.txt,4153,"a requirement, but does not apply to the provision or extension of any fixed building service where",testing and adjustment is not possible or would not affect the energy efficiency of that fixed building
Approved_Document_B_vol_1,3584,the deflection may be assumed to be 40mm unless a smaller value can be justified by assessment.,"Outside this area, the limit can be reduced linearly to zero at the supports. | For steel beams that do not have the required fire resistance, reference should be made to SCI"
Approved_Document_B_vol_2,4565,This does not apply where a wall meets the conditions of Diagram 9.2.,It is not appropriate to complete a line of compartment walls by fitting cavity barriers above them. | The compartment wall should extend to the underside of the floor or roof above.
Approved_Document_B_vol_1,3949,This does not apply where a wall meets the conditions of Diagram 8.2.,It is not appropriate to complete a line of compartment walls by fitting cavity barriers above them. | The compartment walls should extend to the underside of the floor or roof above.
Approved_Document_S,777,except where the cost of that installation exceeds 7 of the total cost of the major renovation.,(5)   The requirements of paragraph S3 of Schedule 1 do not apply to a residential building which is undergoing
Approved_Document_F_V2,91,this approved document unless there is a need to match the external appearance or character of,the extension to that of the host building.
Approved_Document_S,1284,"number of parking spaces, except where the cost of that installation exceeds 7 of the total cost of",the major renovation.
