slice,example_id,variant,arm,model,k,attempts,cases_passed,cases_total,suite_exact,failure_mode,ir_parses,ir_wellformed,ir_known_deontic,ir_unknown_fns,tags,notes
comparability,0085ecdd,original,lrml,anthropic:claude-haiku-4-5,30,1,1,6,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); boundary_exactly_800: got (False,False); one_of_two_sides_suffices: got (False,False)"
comparability,0085ecdd,perturbed,lrml,anthropic:claude-haiku-4-5,30,1,1,6,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); boundary_exactly_800: got (False,False); one_of_two_sides_suffices: got (False,False)"
comparability,0219127c,original,lrml,anthropic:claude-haiku-4-5,30,1,1,6,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation_no_socket: got (False,False); socket_present_but_unsuitable: got (False,False); suitable_socket_but_far: got (False,False)"
comparability,0219127c,perturbed,lrml,anthropic:claude-haiku-4-5,30,1,1,6,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation_no_socket: got (False,False); socket_present_but_unsuitable: got (False,False); suitable_socket_but_far: got (False,False)"
comparability,02f5e3fb,original,lrml,anthropic:claude-haiku-4-5,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,02f5e3fb,perturbed,lrml,anthropic:claude-haiku-4-5,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,08efb7a8,original,lrml,anthropic:claude-haiku-4-5,30,1,1,4,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,08efb7a8,perturbed,lrml,anthropic:claude-haiku-4-5,30,1,1,4,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,09b2a395,original,lrml,anthropic:claude-haiku-4-5,30,1,0,7,0,runtime_reject,True,True,True,4,threshold,clear_compliant: ordered comparison over non-numbers: mounting_height_door_entry_control >= 900.0; clear_violation_too_high: ordered comparison over non-numbers: mounting_height_door_entry_control >= 
comparability,09b2a395,perturbed,lrml,anthropic:claude-haiku-4-5,30,1,0,7,0,runtime_reject,True,True,True,4,threshold,clear_compliant: ordered comparison over non-numbers: mounting_height_door_entry_control >= 900.0; clear_violation_too_high: ordered comparison over non-numbers: mounting_height_door_entry_control >= 
comparability,0aaf71f0,original,lrml,anthropic:claude-haiku-4-5,30,1,5,5,1,,True,True,True,1,threshold|necessity,
comparability,0aaf71f0,perturbed,lrml,anthropic:claude-haiku-4-5,30,1,5,5,1,,True,True,True,1,threshold|necessity,
comparability,0edb92b7,original,lrml,anthropic:claude-haiku-4-5,30,1,1,5,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); violation_no_flow_away: got (False,False); violation_causes_problems: got (False,False); distractor: got (False,False)"
