slice,example_id,variant,arm,model,k,attempts,cases_passed,cases_total,suite_exact,failure_mode,ir_parses,ir_wellformed,ir_known_deontic,ir_unknown_fns,tags,notes
comparability,0085ecdd,original,waist,anthropic:claude-haiku-4-5,30,1,5,6,0,verdict_mismatch,,,,,threshold|necessity,"one_of_two_sides_suffices: got (True,True)"
comparability,0085ecdd,perturbed,waist,anthropic:claude-haiku-4-5,30,1,6,6,1,,,,,,threshold|necessity,
comparability,0219127c,original,waist,anthropic:claude-haiku-4-5,30,1,3,6,0,runtime_reject,,,,,necessity,clear_violation_no_socket: encoding derives violation without applies (spec §5); socket_present_but_unsuitable: encoding derives violation without applies (spec §5); suitable_socket_but_far: encoding 
comparability,0219127c,perturbed,waist,anthropic:claude-haiku-4-5,30,1,3,6,0,runtime_reject,,,,,necessity,clear_violation_no_socket: encoding derives violation without applies (spec §5); socket_present_but_unsuitable: encoding derives violation without applies (spec §5); suitable_socket_but_far: encoding 
comparability,02f5e3fb,original,waist,anthropic:claude-haiku-4-5,30,1,4,4,1,,,,,,necessity,
comparability,02f5e3fb,perturbed,waist,anthropic:claude-haiku-4-5,30,1,4,4,1,,,,,,necessity,
comparability,08efb7a8,original,waist,anthropic:claude-haiku-4-5,30,1,4,4,1,,,,,,necessity,
comparability,08efb7a8,perturbed,waist,anthropic:claude-haiku-4-5,30,1,4,4,1,,,,,,necessity,
comparability,09b2a395,original,waist,anthropic:claude-haiku-4-5,30,1,7,7,1,,,,,,threshold,
comparability,09b2a395,perturbed,waist,anthropic:claude-haiku-4-5,30,1,7,7,1,,,,,,threshold,
comparability,0aaf71f0,original,waist,anthropic:claude-haiku-4-5,30,1,5,5,1,,,,,,threshold|necessity,
comparability,0aaf71f0,perturbed,waist,anthropic:claude-haiku-4-5,30,1,5,5,1,,,,,,threshold|necessity,
comparability,0edb92b7,original,waist,anthropic:claude-haiku-4-5,30,1,5,5,1,,,,,,necessity,
comparability,0edb92b7,perturbed,waist,anthropic:claude-haiku-4-5,30,1,5,5,1,,,,,,necessity,
comparability,12e545d1,original,waist,anthropic:claude-haiku-4-5,30,1,3,5,0,verdict_mismatch,,,,,threshold|necessity,"clear_compliant: got (True,True); compliant_three_facades_all_pairs: got (True,True)"
comparability,12e545d1,perturbed,waist,anthropic:claude-haiku-4-5,30,1,3,5,0,verdict_mismatch,,,,,threshold|necessity,"clear_compliant: got (True,True); compliant_three_facades_all_pairs: got (True,True)"
comparability,14d1a086,original,waist,anthropic:claude-haiku-4-5,30,1,4,4,1,,,,,,necessity,
comparability,14d1a086,perturbed,waist,anthropic:claude-haiku-4-5,30,1,4,4,1,,,,,,necessity,
comparability,1ebce0c9,original,waist,anthropic:claude-haiku-4-5,30,1,5,5,1,,,,,,necessity,
comparability,1ebce0c9,perturbed,waist,anthropic:claude-haiku-4-5,30,1,5,5,1,,,,,,necessity,
comparability,20518e80,original,waist,anthropic:claude-haiku-4-5,30,1,4,4,1,,,,,,threshold,
comparability,20518e80,perturbed,waist,anthropic:claude-haiku-4-5,30,1,4,4,1,,,,,,threshold,
comparability,23db27ac,original,waist,anthropic:claude-haiku-4-5,30,1,5,5,1,,,,,,necessity,
comparability,23db27ac,perturbed,waist,anthropic:claude-haiku-4-5,30,1,5,5,1,,,,,,necessity,
comparability,2af8ee5f,original,waist,anthropic:claude-haiku-4-5,30,1,5,6,0,verdict_mismatch,,,,,necessity,"violation_hood_extracting_outside: got (True,False)"
comparability,2af8ee5f,perturbed,waist,anthropic:claude-haiku-4-5,30,1,3,6,0,verdict_mismatch,,,,,necessity,"clear_violation: got (True,False); hood_not_extracting_outside_exempt: got (False,False); violation_hood_extracting_outside: got (False,False)"
comparability,2b60007d,original,waist,anthropic:claude-haiku-4-5,30,1,7,7,1,,,,,,necessity,
comparability,2b60007d,perturbed,waist,anthropic:claude-haiku-4-5,30,1,7,7,1,,,,,,necessity,
comparability,2cc3d5b0,original,waist,anthropic:claude-haiku-4-5,30,1,6,6,1,,,,,,threshold|necessity,
comparability,2cc3d5b0,perturbed,waist,anthropic:claude-haiku-4-5,30,1,6,6,1,,,,,,threshold|necessity,
comparability,31d635b2,original,waist,anthropic:claude-haiku-4-5,30,1,5,5,1,,,,,,necessity,
comparability,31d635b2,perturbed,waist,anthropic:claude-haiku-4-5,30,1,5,5,1,,,,,,necessity,
comparability,328fb8e7,original,waist,anthropic:claude-haiku-4-5,30,1,5,5,1,,,,,,necessity,
comparability,328fb8e7,perturbed,waist,anthropic:claude-haiku-4-5,30,1,5,5,1,,,,,,necessity,
comparability,526d7a82,original,waist,anthropic:claude-haiku-4-5,30,1,5,5,1,,,,,,necessity,
comparability,526d7a82,perturbed,waist,anthropic:claude-haiku-4-5,30,1,5,5,1,,,,,,necessity,
comparability,5fe7997a,original,waist,anthropic:claude-haiku-4-5,30,1,4,4,1,,,,,,necessity,
comparability,5fe7997a,perturbed,waist,anthropic:claude-haiku-4-5,30,1,4,4,1,,,,,,necessity,
comparability,6187cad8,original,waist,anthropic:claude-haiku-4-5,30,1,4,4,1,,,,,,necessity,
comparability,6187cad8,perturbed,waist,anthropic:claude-haiku-4-5,30,1,4,4,1,,,,,,necessity,
comparability,6414854d,original,waist,anthropic:claude-haiku-4-5,30,1,5,5,1,,,,,,threshold,
comparability,6414854d,perturbed,waist,anthropic:claude-haiku-4-5,30,1,5,5,1,,,,,,threshold,
comparability,675c4d48,original,waist,anthropic:claude-haiku-4-5,30,1,4,4,1,,,,,,necessity,
comparability,675c4d48,perturbed,waist,anthropic:claude-haiku-4-5,30,1,4,4,1,,,,,,necessity,
comparability,681c4394,original,waist,anthropic:claude-haiku-4-5,30,1,5,5,1,,,,,,necessity,
comparability,681c4394,perturbed,waist,anthropic:claude-haiku-4-5,30,1,5,5,1,,,,,,necessity,
comparability,78d904cd,original,waist,anthropic:claude-haiku-4-5,30,1,1,5,0,verdict_mismatch,,,,,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); no_calculation_yet: got (False,False); distractor: got (False,False)"
comparability,78d904cd,perturbed,waist,anthropic:claude-haiku-4-5,30,1,1,5,0,verdict_mismatch,,,,,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); no_calculation_yet: got (False,False); distractor: got (False,False)"
comparability,7db23e3b,original,waist,anthropic:claude-haiku-4-5,30,1,4,5,0,verdict_mismatch,,,,,necessity,"no_valves_vacuous: got (False,False)"
comparability,7db23e3b,perturbed,waist,anthropic:claude-haiku-4-5,30,1,4,5,0,verdict_mismatch,,,,,necessity,"no_valves_vacuous: got (False,False)"
comparability,7f49ccb1,original,waist,anthropic:claude-haiku-4-5,30,1,5,5,1,,,,,,threshold|necessity,
comparability,7f49ccb1,perturbed,waist,anthropic:claude-haiku-4-5,30,1,5,5,1,,,,,,threshold|necessity,
comparability,80221d2c,original,waist,anthropic:claude-haiku-4-5,30,2,6,6,1,,,,,,threshold|necessity,
comparability,80221d2c,perturbed,waist,anthropic:claude-haiku-4-5,30,1,6,6,1,,,,,,threshold|necessity,
comparability,82aa0792,original,waist,anthropic:claude-haiku-4-5,30,2,3,4,0,verdict_mismatch,,,,,,"distractor_no_boilers: got (False,False)"
comparability,82aa0792,perturbed,waist,anthropic:claude-haiku-4-5,30,3,3,4,0,verdict_mismatch,,,,,,"distractor_no_boilers: got (False,False)"
comparability,8421f806,original,waist,anthropic:claude-haiku-4-5,30,1,5,6,0,verdict_mismatch,,,,,threshold|necessity,"clear_compliant_gentle: got (False,False)"
comparability,8421f806,perturbed,waist,anthropic:claude-haiku-4-5,30,1,5,6,0,verdict_mismatch,,,,,threshold|necessity,"clear_compliant_gentle: got (False,False)"
comparability,87c9c5f5,original,waist,anthropic:claude-haiku-4-5,30,1,4,4,1,,,,,,necessity,
comparability,87c9c5f5,perturbed,waist,anthropic:claude-haiku-4-5,30,1,4,4,1,,,,,,necessity,
