slice,example_id,variant,arm,model,k,attempts,cases_passed,cases_total,suite_exact,failure_mode,ir_parses,ir_wellformed,ir_known_deontic,ir_unknown_fns,tags,notes
comparability,0085ecdd,original,lrml-v2,anthropic:claude-haiku-4-5,30,1,1,6,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); boundary_exactly_800: got (False,False); one_of_two_sides_suffices: got (False,False)"
comparability,0085ecdd,perturbed,lrml-v2,anthropic:claude-haiku-4-5,30,1,1,6,0,verdict_mismatch,True,True,True,0,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); boundary_exactly_800: got (False,False); one_of_two_sides_suffices: got (False,False)"
comparability,0219127c,original,lrml-v2,anthropic:claude-haiku-4-5,30,1,1,6,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation_no_socket: got (False,False); socket_present_but_unsuitable: got (False,False); suitable_socket_but_far: got (False,False)"
comparability,0219127c,perturbed,lrml-v2,anthropic:claude-haiku-4-5,30,1,1,6,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation_no_socket: got (False,False); socket_present_but_unsuitable: got (False,False); suitable_socket_but_far: got (False,False)"
comparability,02f5e3fb,original,lrml-v2,anthropic:claude-haiku-4-5,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,02f5e3fb,perturbed,lrml-v2,anthropic:claude-haiku-4-5,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,08efb7a8,original,lrml-v2,anthropic:claude-haiku-4-5,30,1,1,4,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,08efb7a8,perturbed,lrml-v2,anthropic:claude-haiku-4-5,30,1,1,4,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,09b2a395,original,lrml-v2,anthropic:claude-haiku-4-5,30,1,0,7,0,runtime_reject,True,True,True,4,threshold,clear_compliant: ordered comparison over non-numbers: mounting_height_door_entry_control >= 900.0; clear_violation_too_high: ordered comparison over non-numbers: mounting_height_door_entry_control >= 
comparability,09b2a395,perturbed,lrml-v2,anthropic:claude-haiku-4-5,30,1,0,7,0,runtime_reject,True,True,True,4,threshold,clear_compliant: ordered comparison over non-numbers: mounting_height_door_entry_control >= 900.0; clear_violation_too_high: ordered comparison over non-numbers: mounting_height_door_entry_control >= 
comparability,0aaf71f0,original,lrml-v2,anthropic:claude-haiku-4-5,30,1,5,5,1,,True,True,True,2,threshold|necessity,
comparability,0aaf71f0,perturbed,lrml-v2,anthropic:claude-haiku-4-5,30,1,5,5,1,,True,True,True,2,threshold|necessity,
comparability,0edb92b7,original,lrml-v2,anthropic:claude-haiku-4-5,30,1,1,5,0,verdict_mismatch,True,True,True,3,necessity,"clear_compliant: got (False,False); violation_no_flow_away: got (False,False); violation_causes_problems: got (False,False); distractor: got (False,False)"
comparability,0edb92b7,perturbed,lrml-v2,anthropic:claude-haiku-4-5,30,1,1,5,0,verdict_mismatch,True,True,True,3,necessity,"clear_compliant: got (False,False); violation_no_flow_away: got (False,False); violation_causes_problems: got (False,False); distractor: got (False,False)"
comparability,12e545d1,original,lrml-v2,anthropic:claude-haiku-4-5,30,1,1,5,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); violation_one_pair_of_three: got (False,False); compliant_three_facades_all_pairs: got (False,False)"
comparability,12e545d1,perturbed,lrml-v2,anthropic:claude-haiku-4-5,30,1,1,5,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); violation_one_pair_of_three: got (False,False); compliant_three_facades_all_pairs: got (False,False)"
comparability,14d1a086,original,lrml-v2,anthropic:claude-haiku-4-5,30,1,1,4,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation_one_floor: got (False,False); distractor: got (False,False)"
comparability,14d1a086,perturbed,lrml-v2,anthropic:claude-haiku-4-5,30,1,1,4,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation_one_floor: got (False,False); distractor: got (False,False)"
comparability,1ebce0c9,original,lrml-v2,anthropic:claude-haiku-4-5,30,1,0,5,0,runtime_reject,True,True,True,1,necessity,clear_compliant: ordered comparison over non-numbers: load_capacity_enclosure_element_sanitary >= 1.5; clear_violation_one_weak_wall: ordered comparison over non-numbers: load_capacity_enclosure_eleme
comparability,1ebce0c9,perturbed,lrml-v2,anthropic:claude-haiku-4-5,30,1,0,5,0,runtime_reject,True,True,True,1,necessity,clear_compliant: ordered comparison over non-numbers: load_capacity_enclosure_element_sanitary >= 1.5; clear_violation_one_weak_wall: ordered comparison over non-numbers: load_capacity_enclosure_eleme
comparability,20518e80,original,lrml-v2,anthropic:claude-haiku-4-5,30,1,1,4,0,verdict_mismatch,True,True,True,2,threshold,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,20518e80,perturbed,lrml-v2,anthropic:claude-haiku-4-5,30,1,1,4,0,verdict_mismatch,True,True,True,2,threshold,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,23db27ac,original,lrml-v2,anthropic:claude-haiku-4-5,30,1,5,5,1,,True,True,True,6,necessity,
comparability,23db27ac,perturbed,lrml-v2,anthropic:claude-haiku-4-5,30,1,5,5,1,,True,True,True,6,necessity,
comparability,2af8ee5f,original,lrml-v2,anthropic:claude-haiku-4-5,30,1,4,6,0,verdict_mismatch,True,True,True,3,necessity,"hood_not_extracting_outside_exempt: got (False,False); violation_hood_extracting_outside: got (False,False)"
comparability,2af8ee5f,perturbed,lrml-v2,anthropic:claude-haiku-4-5,30,1,4,6,0,verdict_mismatch,True,True,True,3,necessity,"hood_not_extracting_outside_exempt: got (False,False); violation_hood_extracting_outside: got (False,False)"
comparability,2b60007d,original,lrml-v2,anthropic:claude-haiku-4-5,30,1,3,7,0,runtime_reject,True,True,True,8,necessity,clear_compliant: ordered comparison over non-numbers: depth_below_floor_structure_masonry_wall >= 215.0; clear_violation_too_shallow: ordered comparison over non-numbers: depth_below_floor_structure_m
comparability,2b60007d,perturbed,lrml-v2,anthropic:claude-haiku-4-5,30,1,3,7,0,runtime_reject,True,True,True,2,necessity,clear_compliant: ordered comparison over non-numbers: 250.0 > floor_insulation_depth; boundary_215_and_equal_floor_depth: ordered comparison over non-numbers: 215.0 > floor_insulation_depth; compliant
comparability,2cc3d5b0,original,lrml-v2,anthropic:claude-haiku-4-5,30,1,5,6,0,verdict_mismatch,True,True,True,1,threshold|necessity,"guard_pollutants_present_no_claim: got (False,False)"
comparability,2cc3d5b0,perturbed,lrml-v2,anthropic:claude-haiku-4-5,30,1,6,6,1,,True,True,True,2,threshold|necessity,
comparability,31d635b2,original,lrml-v2,anthropic:claude-haiku-4-5,30,1,2,5,0,verdict_mismatch,True,True,True,3,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,31d635b2,perturbed,lrml-v2,anthropic:claude-haiku-4-5,30,1,2,5,0,verdict_mismatch,True,True,True,3,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,328fb8e7,original,lrml-v2,anthropic:claude-haiku-4-5,30,1,3,5,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False)"
