slice,example_id,variant,arm,model,k,attempts,cases_passed,cases_total,suite_exact,failure_mode,ir_parses,ir_wellformed,ir_known_deontic,ir_unknown_fns,tags,notes
comparability,0085ecdd,original,lrml-stmt,anthropic:claude-opus-5,30,1,1,6,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); boundary_exactly_800: got (False,False); one_of_two_sides_suffices: got (False,False)"
comparability,0085ecdd,perturbed,lrml-stmt,anthropic:claude-opus-5,30,1,1,6,0,verdict_mismatch,True,True,True,0,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); boundary_exactly_800: got (False,False); one_of_two_sides_suffices: got (False,False)"
comparability,0219127c,original,lrml-stmt,anthropic:claude-opus-5,30,1,6,6,1,,True,True,True,2,necessity,
comparability,0219127c,perturbed,lrml-stmt,anthropic:claude-opus-5,30,1,6,6,1,,True,True,True,2,necessity,
comparability,02f5e3fb,original,lrml-stmt,anthropic:claude-opus-5,30,1,1,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,02f5e3fb,perturbed,lrml-stmt,anthropic:claude-opus-5,30,1,4,4,1,,True,True,True,1,necessity,
comparability,08efb7a8,original,lrml-stmt,anthropic:claude-opus-5,30,1,0,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); not_applicable: got (True,True); distractor: got (False,False)"
comparability,08efb7a8,perturbed,lrml-stmt,anthropic:claude-opus-5,30,1,0,4,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); not_applicable: got (True,True); distractor: got (False,False)"
comparability,09b2a395,original,lrml-stmt,anthropic:claude-opus-5,30,1,4,7,0,verdict_mismatch,True,True,True,0,threshold,"clear_compliant: got (True,True); boundary_height_900_and_1000: got (True,True); boundary_corner_exactly_300: got (True,True)"
comparability,09b2a395,perturbed,lrml-stmt,anthropic:claude-opus-5,30,1,4,7,0,verdict_mismatch,True,True,True,0,threshold,"clear_compliant: got (True,True); boundary_height_900_and_1000: got (True,True); boundary_corner_exactly_300: got (True,True)"
comparability,0aaf71f0,original,lrml-stmt,anthropic:claude-opus-5,30,1,5,5,1,,True,True,True,1,threshold|necessity,
comparability,0aaf71f0,perturbed,lrml-stmt,anthropic:claude-opus-5,30,1,5,5,1,,True,True,True,1,threshold|necessity,
comparability,0edb92b7,original,lrml-stmt,anthropic:claude-opus-5,30,1,1,5,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); violation_no_flow_away: got (False,False); violation_causes_problems: got (False,False); distractor: got (False,False)"
comparability,0edb92b7,perturbed,lrml-stmt,anthropic:claude-opus-5,30,1,1,5,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); violation_no_flow_away: got (False,False); violation_causes_problems: got (False,False); distractor: got (False,False)"
comparability,12e545d1,original,lrml-stmt,anthropic:claude-opus-5,30,1,1,5,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); violation_one_pair_of_three: got (False,False); compliant_three_facades_all_pairs: got (False,False)"
comparability,12e545d1,perturbed,lrml-stmt,anthropic:claude-opus-5,30,1,1,5,0,verdict_mismatch,True,True,True,1,threshold|necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); violation_one_pair_of_three: got (False,False); compliant_three_facades_all_pairs: got (False,False)"
comparability,14d1a086,original,lrml-stmt,anthropic:claude-opus-5,30,1,2,4,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (True,True); distractor: got (True,True)"
comparability,14d1a086,perturbed,lrml-stmt,anthropic:claude-opus-5,30,1,2,4,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (True,True); distractor: got (True,True)"
comparability,1ebce0c9,original,lrml-stmt,anthropic:claude-opus-5,30,1,1,5,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation_one_weak_wall: got (False,False); boundary_exactly_15: got (False,False); distractor: got (False,False)"
comparability,1ebce0c9,perturbed,lrml-stmt,anthropic:claude-opus-5,30,1,1,5,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation_one_weak_wall: got (False,False); boundary_exactly_15: got (False,False); distractor: got (False,False)"
comparability,20518e80,original,lrml-stmt,anthropic:claude-opus-5,30,1,4,4,1,,True,True,True,1,threshold,
comparability,20518e80,perturbed,lrml-stmt,anthropic:claude-opus-5,30,1,4,4,1,,True,True,True,1,threshold,
comparability,23db27ac,original,lrml-stmt,anthropic:claude-opus-5,30,1,5,5,1,,True,True,True,3,necessity,
comparability,23db27ac,perturbed,lrml-stmt,anthropic:claude-opus-5,30,1,5,5,1,,True,True,True,3,necessity,
comparability,2af8ee5f,original,lrml-stmt,anthropic:claude-opus-5,30,1,4,6,0,verdict_mismatch,True,True,True,3,necessity,"hood_not_extracting_outside_exempt: got (False,False); violation_hood_extracting_outside: got (False,False)"
comparability,2af8ee5f,perturbed,lrml-stmt,anthropic:claude-opus-5,30,1,4,6,0,verdict_mismatch,True,True,True,3,necessity,"hood_not_extracting_outside_exempt: got (False,False); violation_hood_extracting_outside: got (False,False)"
comparability,2b60007d,original,lrml-stmt,anthropic:claude-opus-5,30,1,5,7,0,verdict_mismatch,True,True,True,1,necessity,"boundary_215_and_equal_floor_depth: got (True,True); violation_dpc_present_not_extended_below: got (True,False)"
comparability,2b60007d,perturbed,lrml-stmt,anthropic:claude-opus-5,30,1,4,7,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (True,True); boundary_215_and_equal_floor_depth: got (True,True); compliant_no_dpc_where_applicable: got (True,True)"
comparability,2cc3d5b0,original,lrml-stmt,anthropic:claude-opus-5,30,1,6,6,1,,True,True,True,1,threshold|necessity,
comparability,2cc3d5b0,perturbed,lrml-stmt,anthropic:claude-opus-5,30,1,6,6,1,,True,True,True,1,threshold|necessity,
comparability,31d635b2,original,lrml-stmt,anthropic:claude-opus-5,30,1,2,5,0,verdict_mismatch,True,True,True,2,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,31d635b2,perturbed,lrml-stmt,anthropic:claude-opus-5,30,1,2,5,0,verdict_mismatch,True,True,True,1,necessity,"clear_compliant: got (False,False); clear_violation: got (False,False); distractor: got (False,False)"
comparability,328fb8e7,original,lrml-stmt,anthropic:claude-opus-5,30,1,5,5,1,,True,True,True,1,necessity,
comparability,328fb8e7,perturbed,lrml-stmt,anthropic:claude-opus-5,30,1,5,5,1,,True,True,True,1,necessity,
