slice,id,transforms,perturbed_text
comparability,0085ecdd,modal+cmp+unit,"In addition, on one side of the toilet seat there must be a free space of no less than 80 centimetres."
comparability,0219127c,none,"A power socket, suitable for powering the lifting device, is provided close to the liftway."
comparability,02f5e3fb,modal,"When a new residential building is erected, information about the building shall be given to the owner of the building to allow them to use the overheating mitigation strategy effectively."
comparability,08efb7a8,modal,The methodology for determining costs ought to be consistent between all elements of the calculation to allow a fair comparison between the cost of the major renovation and the cost of electric vehicle charge point infrastructure.
comparability,09b2a395,cmp+unit,"Door entry controls, where provided, are mounted 90-100cm above finished ground level, and no less than 30 centimetres away from any projecting corner."
comparability,0a7ff0c7,cmp+unit,The floor area of the extension is no greater than 30 square metres.
comparability,0aaf71f0,cmp+unit,"In a building consisting primarily of one storey, at most 200 square metres of fire-compartmented and at most 50 square metres of non-fire-compartmented areas that essentially relate to the business of the building may be located on the level of second storey."
comparability,0edb92b7,modal,The foundation drainage water must flow away from the property in such a way that it does not cause problems to the waste water and storm water systems.
comparability,12907c6f,unit,"Both:the area of rooflights exceeds 20 of the area of the roof, and the design solar load exceeds 25watts per square metre."
comparability,12e545d1,modal+cmp,"If the dwelling has in excess of one exposed facade, the area of background ventilators on each facade ought to be similar, to allow cross-ventilation."
comparability,14d1a086,modal,Lifting devices ought to be positioned with the end opposite to the entry point located against a wall at every floor level.
comparability,1ebce0c9,none,"All walls, ducts and boxings to every WC/cloakroom, bath and shower room are strong enough to support grab rails, seats and other adaptations that could impose a load of 1.5kN/m2."
comparability,20518e80,modal,"When calculating the heat loss for a buildings design solution, the design value must be used as the value of the air leakage rate figure for the building envelope."
comparability,23db27ac,modal,"When installing or renovating thermal elements, the element being installed ought to be draught-proofed and airleakage gaps ought to be filled."
comparability,2af8ee5f,modal,"Where building work is carried out in a kitchen or bathroom, any existing fans (including cooker hoods, where they extract to the outside) ought to be retained or replaced."
comparability,2b60007d,modal+cmp,Masonry construction: external or cavity wall insulation ought to extend below the damp-proof course (where applicable) and be no less than the equivalent of one full block height (215mm) below the underside of the floor structure/slab and beyond the depth of the floor insulation.
comparability,2cc3d5b0,modal,"There ought to be a supply rate, in the absence of tobacco smoke or other excessive pollutants, of 10 litres per second per person."
comparability,2f75848b,modal,"Where appropriate, these ought to be automated (with manual override) so that energy savings are maximised."
comparability,31d635b2,modal,"For existing dwellings, when installing a complete new or replacement system (e.g. replacing a heating system including the heating appliance, pipework and heat emitters), the energy performance of the whole system ought to be assessed."
