example_id,doc,has_thresh,content
07565483-7508-43fc-b15e-82d95881e81e,UK_DocL_V1_ConsrvationOfFuelAndPower,False,"The average dwelling primary energy rate, dwelling emission rate and dwelling fabric energy efficiency rate should be calculated using the same averaging methodology."
082c7ed9-3579-48c2-a0d2-076f1edd647c,UK_DocO_Overheating,True,"Each of the two sections of the centrally hinged window should be assessed as a single side, bottom or top hung window."
1913381b-a2cc-496e-9168-82ccf2a01d50,Finnish_Health-WaterAndSewerage,True,"In connection with repair and alteration work, the heat emitters connected to the domestic hot water ring duct may be replaced so that the heat emission capacity of the heat emitters to be installed does not exceed 200 Watts per room."
1fc9255c-929e-4052-aaec-e3ffede5a62e,UK_DocM_V2_AccessAndUseOfBuildings,False,"For large or complex projects, a commissioning manager should be appointed."
23cff3c3-1251-4c5f-9fd9-8f52d25eb494,UK_DocM_V2_AccessAndUseOfBuildings,True,Gasfired boilers and multi-stage oilfired boilers with an output of more than 500kW should have fully modulating burner controls.
2a2dbb92-88af-47f5-bd1e-b3ddea4c1ec9,UK_DocM_V1_AccessAndUseOfBuildings,False,"The approach route should be safe and convenient for everyone, be at the shallowest gradient that can reasonably be achieved, and be stepfree, irrespective of the storey on which the dwelling is located."
2c725d50-13d5-4e77-bacf-9f174530e27c,UK_DocM_V2_AccessAndUseOfBuildings,False,The energy efficiency of historic and traditional buildings should be improved only if doing so will not cause long-term deterioration of the buildings fabric or fittings.
2ff58135-b89d-40d1-a145-51aad9e5a942,Finnish_Accessibility,True,"The landing in front of the outside door shall be at least 1,500 millimetres wide and at least 1,500 millimetres long."
3153d771-404e-4a54-ac05-ed1b75e37506,UK_DocK_ProtectionFromFalling,True,"Gangways should not be less than 1100mm wide unless used by not more than 50 persons, in which case gangways should be a minimum of 900mm."
35cacecf-06dc-4b0f-aadb-db2ee05518c7,UK_DocM_V2_AccessAndUseOfBuildings,True,The area of windows and roof windows (but excluding display windows) within the area served exceeds 40 of the facade area.
44a9bd12-31f1-4d6c-b1ab-507e1eaf2c83,UK_DocM_V2_AccessAndUseOfBuildings,False,Timing and temperature demand control should be provided.
4d54279f-8590-4a58-86d5-afb7f3069870,Finnish_Health-WaterAndSewerage,False,"The apartment-specific water meters shall be located in a place where they are easy to install, read and service."
50e89a86-e2be-439d-b230-79274cd7199b,UK_DocM_V2_AccessAndUseOfBuildings,True,Modular and portable buildings with a planned service life of more than two years at a single location should be shown to comply with the energy efficiency requirements.
536b172d-ccd1-479a-8136-6ee05db0f264,UK_DocL_V1_ConsrvationOfFuelAndPower,True,"Where pipework is above ground, the performance of the pipe insulation should be at least as high as the insulating performance of pipework in the buried part of the system."
549fd984-e319-47d9-9a86-4ea7f4cbf508,UK_DocL_V1_ConsrvationOfFuelAndPower,False,The space between the air barrier and the insulation layer should be filled with solid material.
55d84237-8fad-4bd7-b67d-0745b9cc1e31,Finnish_FireSafety,False,"The doors of exits, and of areas leading to them, must be easy to open in an emergency."
5b4380ba-0066-4735-a362-316d4c8e70b2,UK_DocS_InfrastructureForChargingOfElectricalVehicles,True,"Where a building undergoing major renovation, which is not a residential building or a mixeduse building, will have more than 10 parking spaces after the major renovation is completed (a) one of those parking spaces must have access to one electric vehicle charge point; and (b) cable routes for electric vehicle charge points must be installed in a minimum of one fifth of the total number of remaining parking spaces."
6075de3c-d339-4ba4-9945-990480975615,UK_DocF_V1_Ventilation,True,"Where a kitchen and living room accommodation are not separate rooms (i.e. open plan), no fewer than three ventilators of the same equivalent area as for other habitable rooms should be provided within the open-plan space."
642e2c46-45a8-440f-af0b-1b53f41d8d8f,UK_DocM_V2_AccessAndUseOfBuildings,False,Taps and WC cubicle doors should be operable by people with limited strength or manual dexterity and doors to cubicles should be capable of being opened if a person has collapsed against them while inside the cubicle.
6ab07828-b6aa-4a60-8860-333f061a0fde,UK_DocM_V2_AccessAndUseOfBuildings,False,"Door furniture on manually operated non-powered doors should be easy to operate by people with limited manual dexterity, and be readily apparent against the background of the door."
6c789809-b1b8-429a-8fe2-8ce16f8a4b54,Finnish_Health-IndoorClimateAndVentilation,True,Air flows in the continuous working area of a parking garage for motor vehicles shall be designed so that the instantaneous carbon monoxide concentration does not exceed 7 mg/m3 (6 ppm).
746c2a1e-aa29-4913-b431-c415290a9f4b,UK_DocF_V1_Ventilation,False,controls should be inspected to ensure that the following have been achieved.
7602a501-a5b5-429c-99e1-8bc801243494,Finnish_Health-Humidity,False,"The flooring and wall covering must provide waterproofing, or separate waterproofing must be installed under the flooring and behind the wall covering."
78a7dc3d-5e1e-4858-8913-b319e30f2ff1,UK_DocF_V2_Ventilation,True,The air extract rate should be 20 litres per second per machine during use.
